Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1899340511 "," 1693794003 "," 1452266807 "
1.01," Caixa e Equivalentes de Caixa "," 54494681 "," 176189508 "," 71936023 "
1.01.01," Caixa "," 18023001 "," 16784560 "," 14171188 "
1.01.02," Aplicações de Liquidez "," 36471680 "," 159404948 "," 57764835 "
1.02," Ativos Financeiros "," 1700800619 "," 1392257972 "," 1260858569 "
1.02.01," Depósito Compulsório Banco Central "," 75504036 "," 60308542 "," 65124107 "
1.02.02," Ativos Financeiros Avaliados ao Valor Justo através do Resultado "," 11739070 "," 15670822 "," 3805548 "
1.02.02.01," Títulos e Valores Mobiliários "," 9604035 "," 12143486 "," 2984613 "
1.02.02.02," Derivativos "," 2135035 "," 3527336 "," 820935 "
1.02.03," Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes "," 305490911 "," 256553310 "," 172278448 "
1.02.03.01," Títulos e Valores Mobiliários "," 305490911 "," 256553310 "," 172278448 "
1.02.04," Ativos Financeiros ao Custo Amortizado "," 1308066602 "," 1059725298 "," 1019650466 "
1.02.04.01," Aplicações em Depósitos Interfinanceiros "," 11800313 "," 9287680 "," 9311330 "
1.02.04.02," Aplicações no Mercado Aberto "," 482043522 "," 346969408 "," 361255502 "
1.02.04.03," Títulos e Valores Mobiliários "," 33107809 "," 24946064 "," 25422830 "
1.02.04.04," Operações de Crédito "," 734290606 "," 633402350 "," 579516786 "
1.02.04.05," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," "," "," "
1.02.04.06," Operações de Arrendamento "," "," "," "
1.02.04.07," Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento "," "," "," "
1.02.04.08," Outros Ativos Financeiros "," 46824352 "," 45119796 "," 44144018 "
1.03," Tributos "," 65009496 "," 65956124 "," 68083473 "
1.03.01," Imposto de Renda e Contribuição Social - Correntes "," 7345674 "," 7153007 "," 8049319 "
1.03.02," Imposto de Renda e Contribuição Social - Diferidos "," 57663822 "," 58803117 "," 60034154 "
1.03.03," Outros "," "," "," "
1.04," Outros Ativos "," 39152606 "," 23982917 "," 16578300 "
1.04.01," Ativos Não Correntes a Venda "," 417340 "," 500059 "," 367764 "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 38735266 "," 23482858 "," 16210536 "
1.05," Investimentos "," 19446188 "," 17906810 "," 17414813 "
1.05.01," Participações em Coligadas "," 19446188 "," 17906810 "," 17414813 "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Propriedades para Investimento "," "," "," "
1.05.04," Outros Investimentos "," "," "," "
1.06," Imobilizado "," 13401651 "," 11275605 "," 11475080 "
1.06.01," Imobilizado de Uso "," 8982146 "," 8545213 "," 8042835 "
1.06.02," Direito de Uso de Arrendamento "," 4419505 "," 2730392 "," 3432245 "
1.06.03," Depreciação Acumulada "," "," "," "
1.07," Intangível "," 7035270 "," 6225067 "," 5920549 "
1.07.01," Intangíveis "," 7035270 "," 6225067 "," 5920549 "
1.07.02," Goodwill "," "," "," "
1.07.03," Amortização Acumulada "," "," "," "
