Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 7319532 "," 6825236 "," 5534273 "
1.01," Ativo Circulante "," 3826479 "," 3514992 "," 3478142 "
1.01.01," Disponibilidades "," 59766 "," 80155 "," 93261 "
1.01.02," Aplicações Interfinanceiras de Liquidez "," 1379799 "," 1416741 "," 862246 "
1.01.02.01," Aplicação no Mercado Aberto "," 253285 "," 647004 "," 519985 "
1.01.02.02," Aplicação em Depósitos Interfinanceiros "," 1126514 "," 769737 "," 342261 "
1.01.03," Títulos e Valores Mobiliários "," 862423 "," 709365 "," 1059190 "
1.01.03.01," Carteira Própria "," 815417 "," 700923 "," 1058029 "
1.01.03.02," Vinculados à Prestação de Garantias "," 650 "," 621 "," 858 "
1.01.03.03," Vinculados a Compromissos de Recompra "," 12989 "," 7821 "," 104 "
1.01.03.04," Vinculados ao Banco Central "," 33367 "," 0 "," 199 "
1.01.04," Relações Interfinanceiras "," 407639 "," 365513 "," 354867 "
1.01.04.01," Pagamento e Recebimento a Liquidar "," 121 "," 124 "," 157 "
1.01.04.02," Créditos Vinculados "," 407518 "," 365349 "," 336334 "
1.01.04.03," Correspondentes no País "," 0 "," 40 "," 18376 "
1.01.05," Relações Interdependências "," "," "," "
1.01.06," Operações de Crédito "," 787588 "," 644093 "," 808446 "
1.01.06.01," Operações de Crédito "," 850501 "," 696524 "," 869401 "
1.01.06.02," Provisão para Oper.de Crédito de Liquidação Duvidosa "," -62913 "," -52431 "," -60955 "
1.01.07," Operações de Arrendamento Mercantil "," "," "," "
1.01.08," Outros Créditos "," 326706 "," 297255 "," 297742 "
1.01.08.01," Rendas a Receber "," 3235 "," 3375 "," 1829 "
1.01.08.02," Diversos "," 325241 "," 295397 "," 297493 "
1.01.08.03," Provisão para Outros Créditos de Liquidação Duvidosa "," -1770 "," -1517 "," -1580 "
1.01.09," Outros Valores e Bens "," 2558 "," 1870 "," 2390 "
1.01.09.01," Outros Valores e Bens "," 929 "," 1007 "," 1072 "
1.01.09.02," Provisão para Desvalorização "," "," "," "
1.01.09.03," Despesas Antecipadas "," 1629 "," 863 "," 1318 "
1.02," Ativo Realizável a Longo Prazo "," 3315409 "," 3132989 "," 1950093 "
1.02.01," Aplicações Interfinanceiras de Liquidez "," 134932 "," 327243 "," 0 "
1.02.02," Títulos e Valores Mobiliários "," 582520 "," 536912 "," 21403 "
1.02.02.01," Carteira Própria "," 582520 "," 536912 "," 21403 "
1.02.02.02," Vinculados a Compromisso de Recompra "," "," "," "
1.02.02.03," Vinculados ao Banco Central "," "," "," "
1.02.02.04," Vinculados à Prestação de Garantias "," "," "," "
1.02.03," Relações Interfinanceiras "," 64074 "," 59768 "," 29106 "
1.02.03.01," Créditos Vinculados "," 64074 "," 59768 "," 29106 "
1.02.04," Relações Interdependências "," "," "," "
1.02.05," Operações de Crédito "," 2152013 "," 1797797 "," 1611927 "
1.02.05.01," Operações de Crédito "," 2215956 "," 1846558 "," 1664072 "
1.02.05.02," Provisão p/Oper.de Crédito de Liquidação Duvidosa "," -63943 "," -48761 "," -52145 "
1.02.06," Operações de Arrendamento Mercantil "," "," "," "
1.02.07," Outros Créditos "," 304739 "," 338973 "," 243983 "
1.02.07.01," Diversos "," 304739 "," 338973 "," 243983 "
1.02.07.02," Provisão para Outros Créditos de liquidação Duvidosa "," "," "," "
1.02.08," Outros Valores e Bens "," 77131 "," 72296 "," 43674 "
1.03," Ativo Permanente "," 177644 "," 177255 "," 106038 "
1.03.01," Investimentos "," 116709 "," 116253 "," 39024 "
1.03.01.01," Dependências no Exterior "," "," "," "
1.03.01.02," Participações em Controladas "," "," "," "
1.03.01.03," Participações em Coligadas e Equiparadas "," 116703 "," 116247 "," 39018 "
1.03.01.04," Outros Investimentos "," 454 "," 454 "," 454 "
1.03.01.05," Provisão para Perdas "," -448 "," -448 "," -448 "
1.03.02," Imobilizado de Uso "," 45282 "," 47744 "," 54295 "
1.03.02.01," Imóveis de Uso "," 56085 "," 56203 "," 55915 "
1.03.02.02," Outras Imobilizações de Uso "," 125574 "," 119120 "," 115209 "
1.03.02.03," Depreciação Acumulada "," -136377 "," -127579 "," -116829 "
1.03.03," Imobilizado de Arrendamento "," "," "," "
1.03.04," Intangível "," 15653 "," 13258 "," 12719 "
1.03.04.01," Ativos Intangíveis "," 75250 "," 68849 "," 63653 "
1.03.04.02," Amortização Acumulada "," -59597 "," -55591 "," -50934 "
1.03.05," Diferido "," "," "," "
1.03.05.01," Gastos de Organização e Expansão "," "," "," "
1.03.05.02," Amortização Acumulada "," "," "," "
