Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 34028367 "," 30530922 "," 23788780 "
1.01," Caixa e Equivalentes de Caixa "," 5560676 "," 2082199 "," 3005475 "
1.01.01," Caixa "," 255031 "," 351375 "," 253417 "
1.01.02," Aplicações de Liquidez "," 5305645 "," 1730824 "," 2752058 "
1.02," Ativos Financeiros "," 27309851 "," 27320326 "," 19732966 "
1.02.01," Ativos Financeiros Avaliados a Valor Justo através do Resultado "," 829945 "," 683742 "," 686381 "
1.02.01.01," Reservas no Banco Central "," 829945 "," 683742 "," 686381 "
1.02.02," Ativos Financeiros Avaliados ao Valor Justo através do Resultado "," 738100 "," 655210 "," 564592 "
1.02.02.01," Títulos e Valores Mobiliários "," 738100 "," 655210 "," 564592 "
1.02.02.02," Derivativos "," "," "," "
1.02.03," Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes "," 1445119 "," 4955171 "," 3380781 "
1.02.03.01," Títulos e Valores Mobiliários "," 1445119 "," 4955171 "," 3380781 "
1.02.04," Ativos Financeiros ao Custo Amortizado "," 24296687 "," 21026203 "," 15101212 "
1.02.04.01," Aplicações em Depósitos Interfinanceiros "," "," "," "
1.02.04.02," Aplicações no Mercado Aberto "," 12260196 "," 10616940 "," 7251746 "
1.02.04.03," Títulos e Valores Mobiliários "," 6021138 "," 5570192 "," 3935661 "
1.02.04.04," Operações de Crédito "," 6015353 "," 4839071 "," 3913805 "
1.02.04.05," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," "," "," "
1.02.04.06," Operações de Arrendamento "," "," "," "
1.02.04.07," Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento "," "," "," "
1.02.04.08," Outros Ativos Financeiros "," "," "," "
1.03," Tributos "," 277143 "," 275990 "," 217979 "
1.03.01," Imposto de Renda e Contribuição Social - Correntes "," "," "," "
1.03.02," Imposto de Renda e Contribuição Social - Diferidos "," 277143 "," 275990 "," 217979 "
1.03.03," Outros "," "," "," "
1.04," Outros Ativos "," 571914 "," 555992 "," 535081 "
1.04.01," Ativos Não Correntes a Venda "," 71139 "," 88947 "," 85406 "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 500775 "," 467045 "," 449675 "
1.05," Investimentos "," 382 "," 411 "," 440 "
1.05.01," Participações em Coligadas "," "," "," "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Propriedades para Investimento "," 382 "," 411 "," 440 "
1.05.04," Outros Investimentos "," "," "," "
1.06," Imobilizado "," 158327 "," 162864 "," 172264 "
1.06.01," Imobilizado de Uso "," 345092 "," 328892 "," 311403 "
1.06.02," Direito de Uso de Arrendamento "," "," "," "
1.06.03," Depreciação Acumulada "," -186765 "," -166028 "," -139139 "
1.07," Intangível "," 150074 "," 133140 "," 124575 "
1.07.01," Intangíveis "," 244006 "," 223359 "," 235206 "
1.07.02," Goodwill "," "," "," "
1.07.03," Amortização Acumulada "," -93932 "," -90219 "," -110631 "
1.07.03.01," Amortização Acumulada "," -92760 "," -88968 "," -110631 "
1.07.03.02," Perdas por Impairment "," -1172 "," -1251 "," 0 "
