Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 6248208 "," 4508297 "," 3718821 "
1.01," Ativo Circulante "," 2842827 "," 1880619 "," 1207780 "
1.01.01," Caixa e Equivalentes de Caixa "," 331177 "," 924852 "," 301525 "
1.01.02," Aplicações Financeiras "," 1291272 "," 188908 "," 213158 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 1291272 "," 188908 "," 213158 "
1.01.02.03.01," Títulos Mantidos até o Vencimento "," 1291272 "," 188908 "," 213158 "
1.01.03," Contas a Receber "," 676256 "," 534092 "," 381822 "
1.01.03.01," Clientes "," 676256 "," 534092 "," 381822 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.03.02.01," Partes relacionadas "," "," "," "
1.01.03.02.02," Créditos com empresas ligadas "," "," "," "
1.01.04," Estoques "," 442130 "," 189238 "," 209591 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 68187 "," 29165 "," 48858 "
1.01.06.01," Tributos Correntes a Recuperar "," 68187 "," 29165 "," 48858 "
1.01.07," Despesas Antecipadas "," 3113 "," 1876 "," 2479 "
1.01.08," Outros Ativos Circulantes "," 30692 "," 12488 "," 50347 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 30692 "," 12488 "," 50347 "
1.02," Ativo Não Circulante "," 3405381 "," 2627678 "," 2511041 "
1.02.01," Ativo Realizável a Longo Prazo "," 832583 "," 313429 "," 306504 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.03.01," Títulos Mantidos até o Vencimento "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Créditos com empresas ligadas "," "," "," "
1.02.01.05," Estoques "," 62657 "," 69714 "," 52923 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 0 "," 142971 "," 172339 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 0 "," 142971 "," 172339 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 769926 "," 100744 "," 81242 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," 34232 "," 53361 "," 47305 "
1.02.01.10.04," Tributos a recuperar "," 693891 "," 15073 "," 11318 "
1.02.01.10.05," Outros "," 41803 "," 32310 "," 22619 "
1.02.02," Investimentos "," 104995 "," 66961 "," 13325 "
1.02.02.01," Participações Societárias "," 104995 "," 66961 "," 13325 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," 104995 "," 66961 "," 13325 "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 2159924 "," 1949684 "," 1890717 "
1.02.03.01," Imobilizado em Operação "," 2159924 "," 1949684 "," 1890717 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 307879 "," 297604 "," 300495 "
1.02.04.01," Intangíveis "," 307879 "," 297604 "," 300495 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
