Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 852330 "," 674947 "," 657593 "
1.01," Ativo Circulante "," 373721 "," 282846 "," 270194 "
1.01.01," Caixa e Equivalentes de Caixa "," 20544 "," 13851 "," 13237 "
1.01.01.01," Caixa e Bancos "," 18349 "," 11721 "," 8974 "
1.01.01.02," Aplicações Financeiras "," 2195 "," 2130 "," 4263 "
1.01.02," Aplicações Financeiras "," 17501 "," 7021 "," 5271 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 17501 "," 7021 "," 5271 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Títulos Mantidos até o Vencimento "," 17501 "," 7021 "," 5271 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 185078 "," 161027 "," 188541 "
1.01.03.01," Clientes "," 175693 "," 142608 "," 175981 "
1.01.03.01.01," Contas a receber de clientes "," 184737 "," 151223 "," 193683 "
1.01.03.01.02," (-) Perdas estimadas créd. liquid. duvidosa "," -8249 "," -8470 "," -17301 "
1.01.03.01.03," (-) Ajuste a valor presente "," -795 "," -145 "," -401 "
1.01.03.02," Outras Contas a Receber "," 9385 "," 18419 "," 12560 "
1.01.03.02.01," Outras Contas a Receber "," 9385 "," 18419 "," 12560 "
1.01.04," Estoques "," 89770 "," 91112 "," 54484 "
1.01.04.01," Estoques "," 89770 "," 91112 "," 54484 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 57022 "," 7673 "," 7327 "
1.01.06.01," Tributos Correntes a Recuperar "," 57022 "," 7673 "," 7327 "
1.01.06.01.01," Imposto a Recuperar "," 57022 "," 7673 "," 7327 "
1.01.07," Despesas Antecipadas "," 3806 "," 2162 "," 1334 "
1.01.07.01," Despesas Antecipadas "," 3806 "," 2162 "," 1334 "
1.01.08," Outros Ativos Circulantes "," "," "," "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," "," "," "
1.02," Ativo Não Circulante "," 478609 "," 392101 "," 387399 "
1.02.01," Ativo Realizável a Longo Prazo "," 199578 "," 111643 "," 110953 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 4479 "," 2942 "," 0 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 4479 "," 2942 "," 0 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 0 "," 0 "," 2531 "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 5295 "," 9378 "," 8031 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 5295 "," 9378 "," 8031 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 1104 "," 75940 "," 75892 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 1104 "," 75940 "," 75892 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 188700 "," 23383 "," 24499 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos a Recuperar "," 157353 "," 356 "," 364 "
1.02.01.10.04," Depositos Judiciais "," 31347 "," 23027 "," 24135 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 270459 "," 272361 "," 270717 "
1.02.03.01," Imobilizado em Operação "," 263821 "," 269104 "," 267475 "
1.02.03.01.01," Imobilizado "," 263821 "," 269104 "," 267475 "
1.02.03.02," Direito de Uso em Arrendamento "," 6638 "," 3257 "," 3242 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 8572 "," 8097 "," 5729 "
1.02.04.01," Intangíveis "," 8572 "," 8097 "," 5729 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 8572 "," 8097 "," 5729 "
1.02.04.02," Goodwill "," "," "," "
