Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 32712953 "," 30255751 "," 26469544 "
1.01," Ativo Circulante "," 9110880 "," 7745460 "," 6756098 "
1.01.01," Caixa e Equivalentes de Caixa "," 1112302 "," 2095811 "," 1280195 "
1.01.02," Aplicações Financeiras "," 2968 "," 38940 "," 5496 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 0 "," 1978 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Títulos disponíveis para venda "," 0 "," 0 "," 1978 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 2968 "," 38940 "," 3518 "
1.01.02.02.01," Títulos disponíveis para venda "," 2968 "," 38940 "," 3518 "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 4068656 "," 3138250 "," 2664015 "
1.01.03.01," Clientes "," 3781247 "," 3138250 "," 2664015 "
1.01.03.01.01," Consumidores, revendedores e outros "," 3293518 "," 2621373 "," 2447175 "
1.01.03.01.03," Contas a receber acordos "," 487729 "," 516877 "," 216840 "
1.01.03.02," Outras Contas a Receber "," 287409 "," 0 "," 0 "
1.01.04," Estoques "," 24319 "," 29481 "," 15830 "
1.01.04.01," Almoxarifado "," 24319 "," 29481 "," 15830 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 1047257 "," 970890 "," 765135 "
1.01.06.01," Tributos Correntes a Recuperar "," 1047257 "," 970890 "," 765135 "
1.01.06.01.01," Imposto de renda e contribuição social compensáveis "," 57434 "," 53496 "," 68086 "
1.01.06.01.02," Outros tributos compensáveis "," 989823 "," 917394 "," 697049 "
1.01.07," Despesas Antecipadas "," 68176 "," 44042 "," 33166 "
1.01.08," Outros Ativos Circulantes "," 2787202 "," 1428046 "," 1992261 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 2787202 "," 1428046 "," 1992261 "
1.01.08.03.03," Outros créditos "," 288782 "," 256190 "," 195581 "
1.01.08.03.04," Ativo financeiro setorial "," 2135322 "," 906507 "," 1608152 "
1.01.08.03.05," Serviços em curso "," 363098 "," 241631 "," 188528 "
1.01.08.03.06," Operação com instrumento derivativo "," 0 "," 23718 "," 0 "
1.02," Ativo Não Circulante "," 23602073 "," 22510291 "," 19713446 "
1.02.01," Ativo Realizável a Longo Prazo "," 19478924 "," 18330477 "," 15200884 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 40786 "," 36054 "," 34525 "
1.02.01.04.01," Consumidores, revendedores e outros "," 23868 "," 23899 "," 25920 "
1.02.01.04.02," Contas a receber - acordos "," 16918 "," 12155 "," 8605 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 4508956 "," 4664880 "," 4327475 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 4508956 "," 4664880 "," 4327475 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 14929182 "," 13629543 "," 10838884 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.04," Depósitos vinculados "," 851972 "," 802277 "," 808869 "
1.02.01.10.06," Outros tributos compensáveis "," 5208206 "," 6177141 "," 4495140 "
1.02.01.10.08," Ativo financeiro da concessão "," 6317532 "," 5247418 "," 4532124 "
1.02.01.10.09," Outros créditos "," 62020 "," 80429 "," 41713 "
1.02.01.10.10," Ativo financeiro setorial "," 1313557 "," 680881 "," 444594 "
1.02.01.10.11," Ativo contratual (infraestrutura em construção) "," 1050779 "," 545741 "," 466563 "
1.02.01.10.12," Operação com instrumento derivativo "," 125116 "," 95656 "," 49881 "
1.02.02," Investimentos "," 34936 "," 41250 "," 41250 "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 34936 "," 41250 "," 41250 "
1.02.03," Imobilizado "," 263349 "," 178965 "," 230806 "
1.02.03.01," Imobilizado em Operação "," 263349 "," 178965 "," 230806 "
1.02.03.01.01," Ativo de direito de uso "," 263349 "," 178965 "," 230806 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 3824864 "," 3959599 "," 4240506 "
1.02.04.01," Intangíveis "," 3824864 "," 3959599 "," 4240506 "
1.02.04.01.01," Contrato de Concessão "," 3824864 "," 3959599 "," 4240506 "
