Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 11237851 "," 9366384 "
1.01," Ativo Circulante "," 3307978 "," 2426886 "
1.01.01," Caixa e Equivalentes de Caixa "," 204316 "," 166015 "
1.01.01.01," Caixa e Equivalentes de Caixa "," 204316 "," 166015 "
1.01.02," Aplicações Financeiras "," 80648 "," 92376 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 80648 "," 92376 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.01.03," Títulos e valores mobiliários "," 80648 "," 92376 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 1606490 "," 1409635 "
1.01.03.01," Clientes "," 1606490 "," 1409635 "
1.01.03.01.01," Consumidores e outras contas a receber "," 2220336 "," 1835870 "
1.01.03.01.02," Perda esperada com créditos de liquidação duvidosa "," -613846 "," -426235 "
1.01.03.01.03," Consumidor baixa renda "," "," "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.03.02.01," Serviço em curso "," "," "
1.01.03.02.02," Cauções e depóstios "," "," "
1.01.03.02.03," Outros créditos "," "," "
1.01.03.02.04," Créditos de Subvenção desconto tarifário "," "," "
1.01.03.02.05," Ativos financeiros setoriais "," "," "
1.01.03.02.06," Instrumentos financeiros derivativos - swap "," "," "
1.01.04," Estoques "," "," "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 712676 "," 514140 "
1.01.06.01," Tributos Correntes a Recuperar "," 712676 "," 514140 "
1.01.06.01.01," Impostos de renda e contribuição social compensáveis "," 136426 "," 112810 "
1.01.06.01.02," Outros tributos compensáveis "," 576250 "," 401330 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 703848 "," 244720 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 703848 "," 244720 "
1.01.08.03.01," Serviço em Curso "," 61206 "," 79108 "
1.01.08.03.02," Cauções e depósitos "," "," "
1.01.08.03.03," Outros créditos "," 172038 "," 83419 "
1.01.08.03.04," Subvenção CDE - desconto tarifário "," 78011 "," 17079 "
1.01.08.03.05," Ativo financeiro Setorial "," 392593 "," 0 "
1.01.08.03.06," Instrumentos financeiros derivativos - swap "," 0 "," 65114 "
1.02," Ativo Não Circulante "," 7929873 "," 6939498 "
1.02.01," Ativo Realizável a Longo Prazo "," 5880077 "," 4888015 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," 115421 "," 75431 "
1.02.01.04.01," Consumidores e outras contas a receber "," 115421 "," 75431 "
1.02.01.04.02," Outras contas a receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 52077 "," 32142 "
1.02.01.07.01," Tributos diferidos "," 52077 "," 32142 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 5712579 "," 4780442 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Depósitos vinculados a litígios "," 48798 "," 47676 "
1.02.01.10.04," Cauções e depósitos "," 31101 "," 28583 "
1.02.01.10.05," Benefício fiscal "," 21042 "," 25520 "
1.02.01.10.06," Ativo indenizável (concessão) "," 3912580 "," 3026407 "
1.02.01.10.07," Serviço em curso "," "," "
1.02.01.10.08," Outros tributos compensáveis "," 654499 "," 1070993 "
1.02.01.10.09," Instrumentos financeiros derivativos - swap "," 43594 "," 483 "
1.02.01.10.10," Ativos financeiros setoriais "," 126078 "," 0 "
1.02.01.10.11," Ativos contratuais "," 874887 "," 580780 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.02," Participações em Controladas "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "
1.02.02.01.04," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 80146 "," 43564 "
1.02.03.01," Imobilizado em Operação "," 80146 "," 43564 "
1.02.03.01.01," Imobilizado em Operação "," 80146 "," 43564 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 1969650 "," 2007919 "
1.02.04.01," Intangíveis "," 1969650 "," 2007919 "
1.02.04.01.01," Contrato de Concessão "," 1835952 "," 1847773 "
1.02.04.01.02," Software "," 133686 "," 160146 "
1.02.04.01.03," Ativos contratuais "," 12 "," 0 "
