Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 54768404 "," 45562807 "," 39319814 "
1.01," Ativo Circulante "," 15527778 "," 13594051 "," 9858353 "
1.01.01," Caixa e Equivalentes de Caixa "," 773505 "," 1062102 "," 663103 "
1.01.02," Aplicações Financeiras "," 4057459 "," 4944045 "," 2016399 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 4057459 "," 4944045 "," 2016399 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 4057459 "," 4944045 "," 2016399 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 5008273 "," 4488555 "," 3799585 "
1.01.03.01," Clientes "," 5004373 "," 4474964 "," 3783469 "
1.01.03.01.01," Clientes, consumidores, concessionárias e outros "," 5004373 "," 4474964 "," 3783469 "
1.01.03.02," Outras Contas a Receber "," 3900 "," 13591 "," 16116 "
1.01.03.02.01," Títulos de crédito a receber "," 3900 "," 13591 "," 16116 "
1.01.04," Estoques "," 134558 "," 118761 "," 122975 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 1229269 "," 674326 "," 1021209 "
1.01.06.01," Tributos Correntes a Recuperar "," 1229269 "," 674326 "," 1021209 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 4324714 "," 2306262 "," 2235082 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.01.01," Títulos de crédito a receber "," "," "," "
1.01.08.01.02," Baixa renda e outros créditos "," "," "," "
1.01.08.01.03," Dividendos a receber "," "," "," "
1.01.08.01.04," Instrumentos financeiros derivativos "," "," "," "
1.01.08.01.05," Ativos financeiros setoriais "," "," "," "
1.01.08.01.06," Concessão do serviço público- ativo de contrato "," "," "," "
1.01.08.01.07," Ativos disponíveis para venda "," "," "," "
1.01.08.01.08," Outros créditos "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 4324714 "," 2306262 "," 2235082 "
1.01.08.03.01," Instrumentos financeiros derivativos "," 473525 "," 683965 "," 186303 "
1.01.08.03.02," Ativos financeiros setoriais "," 1652491 "," 368033 "," 1175623 "
1.01.08.03.03," Contas a receber da concessão "," 151135 "," 87063 "," 0 "
1.01.08.03.04," Ativos disponíveis para venda "," "," "," "
1.01.08.03.05," Outros créditos "," 2047563 "," 1167201 "," 873156 "
1.02," Ativo Não Circulante "," 39240626 "," 31968756 "," 29461461 "
1.02.01," Ativo Realizável a Longo Prazo "," 22566997 "," 15776191 "," 12780327 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1185892 "," 617236 "," 356795 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 1185892 "," 617236 "," 356795 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.03.01," Clientes "," "," "," "
1.02.01.03.02," Outras Contas a Receber "," "," "," "
1.02.01.04," Contas a Receber "," 1461924 "," 1260878 "," 1050572 "
1.02.01.04.01," Clientes, Consumidores e Concessinárias "," 1461924 "," 1260878 "," 1050572 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Títulos de créditos a receber "," "," "," "
1.02.01.09.04," Tributos a recuperar "," "," "," "
1.02.01.09.05," Créditos tributários "," "," "," "
1.02.01.09.06," Depósitos e cauções vinculados "," "," "," "
1.02.01.09.07," Instrumentos financeiros derivativos "," "," "," "
1.02.01.09.08," Contas a receber da concessão "," "," "," "
1.02.01.09.09," Ativos financeiros setoriais "," "," "," "
1.02.01.09.10," Créditos com partes relacionadas "," "," "," "
1.02.01.09.11," Despesas pagas antecipadamente "," "," "," "
1.02.01.09.12," Outros créditos "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 19919181 "," 13898077 "," 11372960 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Títulos de créditos a receber "," 99847 "," 11762 "," 10457 "
1.02.01.10.04," Tributos a recuperar "," 3718883 "," 1470208 "," 1022230 "
1.02.01.10.05," Créditos tributários "," 1423762 "," 1425626 "," 1449351 "
1.02.01.10.06," Depósitos e cauções vinculados "," 1003852 "," 767415 "," 576694 "
1.02.01.10.07," Instrumentos financeiros derivativos "," 2025932 "," 1329233 "," 1004467 "
1.02.01.10.08," Ativo financeiro indenizável da concessão "," 7618313 "," 6062396 "," 5130960 "
1.02.01.10.09," Ativos financeiros setoriais "," 988122 "," 904543 "," 913347 "
1.02.01.10.10," Concessão do serviço público- ativo de contrato "," 2450614 "," 1357582 "," 957074 "
1.02.01.10.11," Outros créditos "," 589856 "," 569312 "," 308380 "
1.02.02," Investimentos "," 64755 "," 64154 "," 86730 "
1.02.02.01," Participações Societárias "," 64755 "," 64154 "," 86730 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," 64755 "," 64154 "," 86730 "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 717518 "," 417640 "," 284567 "
1.02.03.01," Imobilizado em Operação "," 717518 "," 417640 "," 284567 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 15891356 "," 15710771 "," 16309837 "
1.02.04.01," Intangíveis "," 15891356 "," 15710771 "," 16309837 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.03," Ativo Contratual - Infra-estrutura em construção "," 1247877 "," 933924 "," 1468913 "
1.02.04.01.04," Intangíveis "," 14643479 "," 14776847 "," 14840924 "
1.02.04.02," Goodwill "," "," "," "
