Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 8515611 "," 9099806 "," 9067558 "
1.01," Ativo Circulante "," 589661 "," 806040 "," 677692 "
1.01.01," Caixa e Equivalentes de Caixa "," 193828 "," 360825 "," 111905 "
1.01.01.01," Caixa e Bancos "," 1207 "," 3228 "," 1833 "
1.01.01.02," Aplicações Financeiras "," 192621 "," 357597 "," 110072 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 101256 "," 135403 "," 193546 "
1.01.03.01," Clientes "," 101256 "," 135403 "," 193546 "
1.01.03.01.01," Contas a receber de clientes "," 37564 "," 46154 "," 70245 "
1.01.03.01.02," Partes relacionadas "," 63692 "," 89249 "," 123301 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 194350 "," 201417 "," 215546 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 76009 "," 76780 "," 133836 "
1.01.06.01," Tributos Correntes a Recuperar "," 76009 "," 76780 "," 133836 "
1.01.06.01.01," Tributos a recuperar "," 76009 "," 76780 "," 133836 "
1.01.06.01.02," Tributos Antecipados sobre o Lucro "," "," "," "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 24218 "," 31615 "," 22859 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 24218 "," 31615 "," 22859 "
1.01.08.03.01," Derivativos "," 0 "," 0 "," 69 "
1.01.08.03.02," Sinistros a recuperar "," "," "," "
1.01.08.03.03," Demais ativos "," 24218 "," 31615 "," 22790 "
1.02," Ativo Não Circulante "," 7925950 "," 8293766 "," 8389866 "
1.02.01," Ativo Realizável a Longo Prazo "," 1305629 "," 1253645 "," 1063200 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 127678 "," 117781 "," 112245 "
1.02.01.04.01," Clientes "," 7284 "," 10938 "," 11156 "
1.02.01.04.02," Outras Contas a Receber "," 120394 "," 106843 "," 101089 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 275062 "," 263270 "," 245231 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 275062 "," 263270 "," 245231 "
1.02.01.10," Outros Ativos Não Circulantes "," 902889 "," 872594 "," 705724 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judicias "," 102670 "," 82899 "," 90273 "
1.02.01.10.04," Tributos a recuperar "," 306248 "," 250182 "," 169705 "
1.02.01.10.05," Tributos diferidos sobre o lucro "," 489478 "," 536811 "," 443488 "
1.02.01.10.06," Sinistros a recuperar "," "," "," "
1.02.01.10.07," Demais Ativos "," 4493 "," 2702 "," 2258 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1703928 "," 1525164 "," 1557051 "
1.02.03.01," Imobilizado em Operação "," 1047077 "," 854413 "," 671064 "
1.02.03.02," Direito de Uso em Arrendamento "," 494779 "," 634034 "," 764615 "
1.02.03.03," Imobilizado em Andamento "," 162072 "," 36717 "," 121372 "
1.02.04," Intangível "," 4916393 "," 5514957 "," 5769615 "
1.02.04.01," Intangíveis "," 4916393 "," 5514957 "," 5769615 "
1.02.04.01.01," Contrato de Concessão "," 9640 "," 11706 "," 13772 "
1.02.04.01.02," Outros Intangiveis "," 4906753 "," 5503251 "," 5755843 "
