Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 290352 "," 213702 "," 188258 "
1.01," Ativo Circulante "," 63695 "," 16491 "," 8716 "
1.01.01," Caixa e Equivalentes de Caixa "," 34166 "," 304 "," 2 "
1.01.02," Aplicações Financeiras "," 4432 "," 334 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 232 "," 334 "," 0 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Instrum. Financeiros Derivativos "," 232 "," 334 "," 0 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 4200 "," 0 "," 0 "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 23591 "," 11125 "," 4728 "
1.01.03.01," Clientes "," 8604 "," 7482 "," 2513 "
1.01.03.02," Outras Contas a Receber "," 14987 "," 3643 "," 2215 "
1.01.03.02.01," Titulos a Receber "," 6845 "," 2249 "," 409 "
1.01.03.02.02," Adiantamentos a Fornecedores "," 8142 "," 1394 "," 1806 "
1.01.04," Estoques "," 1273 "," 880 "," 518 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 5 "," 3489 "," 3298 "
1.01.06.01," Tributos Correntes a Recuperar "," 5 "," 3489 "," 3298 "
1.01.07," Despesas Antecipadas "," 228 "," 359 "," 170 "
1.01.08," Outros Ativos Circulantes "," "," "," "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," "," "," "
1.02," Ativo Não Circulante "," 226657 "," 197211 "," 179542 "
1.02.01," Ativo Realizável a Longo Prazo "," 98837 "," 80429 "," 77276 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 13800 "," 0 "," 0 "
1.02.01.02.02," Aplicações Financeiras - Conta Vinculada "," 13800 "," 0 "," 0 "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 66543 "," 63794 "," 63661 "
1.02.01.09.01," Créditos com Coligadas "," 66543 "," 63794 "," 63661 "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 18494 "," 16635 "," 13615 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Adiantamentos "," 9541 "," 7913 "," 0 "
1.02.01.10.04," Depositos Judiciais "," 504 "," 1864 "," 2024 "
1.02.01.10.05," Impostos a Recuperar "," 2614 "," 1023 "," 5567 "
1.02.01.10.07," Impostos Diferidos "," 5835 "," 5835 "," 6024 "
1.02.02," Investimentos "," 230 "," 230 "," 230 "
1.02.02.01," Participações Societárias "," 230 "," 230 "," 230 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," 230 "," 230 "," 230 "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 127456 "," 116398 "," 101840 "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 134 "," 154 "," 196 "
1.02.04.01," Intangíveis "," 134 "," 154 "," 196 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
