Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 12271498 "," 10616884 "," 8451722 "
1.01," Ativo Circulante "," 4148735 "," 4225788 "," 2792056 "
1.01.01," Caixa e Equivalentes de Caixa "," 891650 "," 1610548 "," 1083410 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 1375260 "," 977194 "," 974296 "
1.01.03.01," Clientes "," 1375260 "," 977194 "," 974296 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 129554 "," 121064 "," 89586 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 176865 "," 173970 "," 249957 "
1.01.06.01," Tributos Correntes a Recuperar "," 176865 "," 173970 "," 249957 "
1.01.06.01.01," Imposto de renda e contribuição social a recuperar "," "," "," "
1.01.06.01.02," Outros tributos a recuperar "," 176865 "," 173970 "," 249957 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 1575406 "," 1343012 "," 394807 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 1575406 "," 1343012 "," 394807 "
1.01.08.03.01," Instrumentos financeiros derivativos "," 0 "," 54218 "," 128786 "
1.01.08.03.02," Recebíveis de partes relacionadas "," 1817 "," 769 "," 1820 "
1.01.08.03.03," Outros ativos "," 56521 "," 54456 "," 40504 "
1.01.08.03.04," Títulos e valores mobiliários "," 1027467 "," 991820 "," 200233 "
1.01.08.03.05," Gás pago e não retirado "," 0 "," 0 "," 23464 "
1.01.08.03.06," Ativos setoriais "," 489601 "," 241749 "," 0 "
1.02," Ativo Não Circulante "," 8122763 "," 6391096 "," 5659666 "
1.02.01," Ativo Realizável a Longo Prazo "," 1490059 "," 474123 "," 349705 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 15797 "," 18029 "," 13101 "
1.02.01.04.01," Clientes "," 15797 "," 18029 "," 13101 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 0 "," 0 "," 18459 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 0 "," 0 "," 18459 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 1474262 "," 456094 "," 318145 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Outros tributos a recuperar "," 989158 "," 29166 "," 19902 "
1.02.01.10.04," Depósitos judiciais "," 62362 "," 60394 "," 52104 "
1.02.01.10.05," Instrumentos financeiros derivativos "," 287837 "," 366368 "," 245944 "
1.02.01.10.06," Ativos setoriais "," 68709 "," 0 "," 0 "
1.02.01.10.07," Outros ativos "," 8069 "," 166 "," 195 "
1.02.01.10.08," Imposto de renda e contribuição social a recuperar "," 58127 "," 0 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," "," "," "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 6632704 "," 5916973 "," 5309961 "
1.02.04.01," Intangíveis "," 6632704 "," 5916973 "," 5309961 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Direito de uso "," 57118 "," 19865 "," 10128 "
1.02.04.01.03," Ativos de contrato "," 684970 "," 686690 "," 594601 "
1.02.04.01.04," Intangível "," 5890616 "," 5210418 "," 4705232 "
