Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1295524 "," 845867 "," 814229 "
1.01," Ativo Circulante "," 851191 "," 349138 "," 268747 "
1.01.01," Caixa e Equivalentes de Caixa "," 97947 "," 40602 "," 11984 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 350810 "," 166762 "," 108767 "
1.01.03.01," Clientes "," 252642 "," 148293 "," 100117 "
1.01.03.02," Outras Contas a Receber "," 98168 "," 18469 "," 8650 "
1.01.04," Estoques "," 254596 "," 107337 "," 90851 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 83945 "," 29575 "," 31402 "
1.01.06.01," Tributos Correntes a Recuperar "," 83945 "," 29575 "," 31402 "
1.01.07," Despesas Antecipadas "," 0 "," 3047 "," 2738 "
1.01.08," Outros Ativos Circulantes "," 63893 "," 1815 "," 23005 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 63893 "," 1815 "," 23005 "
1.01.08.03.01," Direitos a realizar "," 0 "," 558 "," 342 "
1.01.08.03.02," Bens destinados a venda "," 60000 "," 0 "," 22663 "
1.01.08.03.03," Dividendos a receber - Partes relacionadas "," 3893 "," 1257 "," 0 "
1.02," Ativo Não Circulante "," 444333 "," 496729 "," 545482 "
1.02.01," Ativo Realizável a Longo Prazo "," 78528 "," 64699 "," 111628 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 13158 "," 43128 "," 4311 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 13158 "," 43128 "," 4311 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 0 "," 156 "," 2736 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 0 "," 156 "," 2736 "
1.02.01.10," Outros Ativos Não Circulantes "," 65370 "," 21415 "," 104581 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos a recuperar "," 49075 "," 5651 "," 5992 "
1.02.01.10.04," Direitos a realizar "," 0 "," 0 "," 34560 "
1.02.01.10.05," Depósitos judiciais "," 16295 "," 15764 "," 64029 "
1.02.01.10.06," Bens destinados a venda "," "," "," "
1.02.02," Investimentos "," 53448 "," 155786 "," 157084 "
1.02.02.01," Participações Societárias "," 38721 "," 28308 "," 21462 "
1.02.02.01.01," Participações em Coligadas "," 38721 "," 28308 "," 21426 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 0 "," 0 "," 36 "
1.02.02.02," Propriedades para Investimento "," 14727 "," 127478 "," 135622 "
1.02.03," Imobilizado "," 311899 "," 275478 "," 276011 "
1.02.03.01," Imobilizado em Operação "," 298581 "," 272200 "," 270731 "
1.02.03.02," Direito de Uso em Arrendamento "," 13318 "," 3278 "," 5280 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 458 "," 766 "," 759 "
1.02.04.01," Intangíveis "," 458 "," 766 "," 759 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Outros "," 458 "," 766 "," 759 "
1.02.04.02," Goodwill "," "," "," "
