Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 115104266 "," 116774155 "," 122993598 "
1.01," Ativo Circulante "," 55555224 "," 51433993 "," 41033891 "
1.01.01," Caixa e Equivalentes de Caixa "," 50629913 "," 38923297 "," 31463224 "
1.01.02," Aplicações Financeiras "," 3346571 "," 11837692 "," 6923260 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 2396623 "," 1546101 "," 1390178 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 501338 "," 1129525 "," 1380833 "
1.01.02.01.03," Instrumentos Financeiros Derivativos "," 533725 "," 10916 "," 9345 "
1.01.02.01.04," Cotas de Fundos de Investimento "," 1361560 "," 405660 "," 0 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 571696 "," 10045547 "," 5300432 "
1.01.02.02.01," Títulos Disponíveis para Venda "," "," "," "
1.01.02.02.02," Ações e certificados de depósito de ações "," 571696 "," 10045547 "," 5082632 "
1.01.02.02.04," Cotas do Fundo de Investimento "," 0 "," 0 "," 217800 "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 378252 "," 246044 "," 232650 "
1.01.02.03.01," Debêntures "," 378252 "," 246044 "," 232650 "
1.01.03," Contas a Receber "," "," "," "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," "," "," "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 1578740 "," 673004 "," 2647407 "
1.01.08.01," Ativos Não-Correntes a Venda "," 950471 "," 30016 "," 0 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 628269 "," 642988 "," 2647407 "
1.01.08.03.01," Venda a Prazo de Títulos e Valores Mobiliários "," 46886 "," 48364 "," 920821 "
1.01.08.03.02," (-) Provisão para Redução ao Valor Recuperável "," -7252 "," -8476 "," -75344 "
1.01.08.03.03," Direitos Recebíveis "," 964595 "," 124417 "," 858252 "
1.01.08.03.04," (-) Provisão para Redução ao Valor Recuperável "," -848617 "," -111756 "," -625804 "
1.01.08.03.05," Juros sobre Capital Próprio e Dividendos a Receber "," 132415 "," 227301 "," 410969 "
1.01.08.03.06," Impostos e Contribuições a Recuperar e Antecipações "," 320256 "," 92147 "," 687058 "
1.01.08.03.07," Devedores por Depósitos em Garantia "," 7171 "," 4327 "," 4154 "
1.01.08.03.08," Adiantamentos para Aquisição de Títulos "," "," "," "
1.01.08.03.09," Créditos perante o Tesouro Nacional "," "," "," "
1.01.08.03.10," Títulos a Receber "," "," "," "
1.01.08.03.11," Cessão de Direito de Capitalização "," 0 "," 14 "," 431056 "
1.01.08.03.12," Bens Não de Uso Próprio "," 0 "," 999 "," 999 "
1.01.08.03.20," Outros "," 12815 "," 265651 "," 35246 "
1.02," Ativo Não Circulante "," 59549042 "," 65340162 "," 81959707 "
1.02.01," Ativo Realizável a Longo Prazo "," 48613499 "," 54366121 "," 72869796 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1625 "," 974688 "," 1384112 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 1625 "," 974688 "," 1384112 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 45615758 "," 49262247 "," 67986773 "
1.02.01.02.02," Cotas de Fundos de Investimento "," 1802524 "," 1829879 "," 2241661 "
1.02.01.02.03," Ações e certificados de depósitos de ações "," 43813234 "," 47432368 "," 65745112 "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 1263300 "," 1981865 "," 2452270 "
1.02.01.03.01," Debêntures "," 1263300 "," 1981865 "," 2452270 "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
