Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3907671 "," 3767464 "," 3559018 "
1.01," Ativo Circulante "," 483085 "," 497461 "," 534992 "
1.01.01," Caixa e Equivalentes de Caixa "," 142 "," 2300 "," 6013 "
1.01.02," Aplicações Financeiras "," 94382 "," 130394 "," 189509 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 94382 "," 130394 "," 189509 "
1.01.02.01.01," Títulos para Negociação "," 94382 "," 130394 "," 189509 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 223351 "," 218524 "," 214526 "
1.01.03.01," Clientes "," 218501 "," 214286 "," 204443 "
1.01.03.02," Outras Contas a Receber "," 4850 "," 4238 "," 10083 "
1.01.03.02.01," Partes Relacionadas "," 4850 "," 4238 "," 10083 "
1.01.04," Estoques "," 66031 "," 48521 "," 47566 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 84087 "," 80405 "," 58648 "
1.01.06.01," Tributos Correntes a Recuperar "," 84087 "," 80405 "," 58648 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 15092 "," 17317 "," 18730 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 15092 "," 17317 "," 18730 "
1.02," Ativo Não Circulante "," 3424586 "," 3270003 "," 3024026 "
1.02.01," Ativo Realizável a Longo Prazo "," 255641 "," 243710 "," 270793 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 0 "," 12867 "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 27751 "," 8976 "," 15386 "
1.02.01.04.01," Clientes "," 27751 "," 8976 "," 15386 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 90284 "," 96007 "," 91264 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 90284 "," 96007 "," 91264 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 137910 "," 138727 "," 151276 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos dado em Garantia "," 103949 "," 102182 "," 95304 "
1.02.01.10.04," Ativo Financeiro "," 12490 "," 20079 "," 28694 "
1.02.01.10.05," Direito de Uso de Bens "," 21167 "," 16466 "," 27278 "
1.02.02," Investimentos "," 304 "," 304 "," 304 "
1.02.02.01," Participações Societárias "," 304 "," 304 "," 304 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," 304 "," 304 "," 304 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1247362 "," 1276939 "," 993928 "
1.02.03.01," Imobilizado em Operação "," 42748 "," 39653 "," 40876 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," 1247362 "," 1237286 "," 953052 "
1.02.04," Intangível "," 1878531 "," 1749050 "," 1759001 "
1.02.04.01," Intangíveis "," 1878531 "," 1749050 "," 1759001 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 1878531 "," 1749050 "," 1759001 "
