Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 15146 "," 25620 "," 28847 "
1.01," Ativo Circulante "," 4753 "," 6875 "," 5896 "
1.01.01," Caixa e Equivalentes de Caixa "," 1155 "," 3554 "," 2521 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 2088 "," 1532 "," 514 "
1.01.03.01," Clientes "," 2088 "," 1532 "," 514 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 1385 "," 1579 "," 1791 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," 84 "," 88 "," 531 "
1.01.07.01," Despesas do Exercício Seguinte "," 84 "," 88 "," 531 "
1.01.08," Outros Ativos Circulantes "," 41 "," 122 "," 539 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 41 "," 122 "," 539 "
1.01.08.03.01," Adiantamentos a Fornecedores "," 20 "," 77 "," 124 "
1.01.08.03.02," Adiantamentos a Funcionários "," 0 "," 0 "," 1 "
1.01.08.03.03," Outros Créditos "," 21 "," 45 "," 414 "
1.02," Ativo Não Circulante "," 10393 "," 18745 "," 22951 "
1.02.01," Ativo Realizável a Longo Prazo "," 3071 "," 5774 "," 4410 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 3071 "," 4371 "," 4371 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 3071 "," 4371 "," 4371 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 0 "," 1403 "," 39 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Outros Créditos "," 0 "," 54 "," 39 "
1.02.01.10.04," Ativo mantido para Venda "," 0 "," 1349 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1375 "," 3157 "," 6114 "
1.02.03.01," Imobilizado em Operação "," 1375 "," 3157 "," 6114 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 5947 "," 9814 "," 12427 "
1.02.04.01," Intangíveis "," 5947 "," 9814 "," 12427 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
