Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 758363 "," 810449 "," 692363 "
1.01," Ativo Circulante "," 324133 "," 236892 "," 296868 "
1.01.01," Caixa e Equivalentes de Caixa "," 20731 "," 216005 "," 174301 "
1.01.01.01," Caixa e bancos "," 20731 "," 216005 "," 1443 "
1.01.01.02," Aplicações financeiras no mercado aberto "," 0 "," 0 "," 172858 "
1.01.02," Aplicações Financeiras "," 257511 "," 0 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 4978 "," 5450 "," 84435 "
1.01.03.01," Clientes "," 2198 "," 2418 "," 81732 "
1.01.03.02," Outras Contas a Receber "," 2780 "," 3032 "," 2703 "
1.01.03.02.01," Juros s/capital próprio/dividendos "," 1029 "," 2028 "," 157 "
1.01.03.02.02," Adiantamentos "," 0 "," 0 "," 2546 "
1.01.03.02.03," Outras "," 1751 "," 1004 "," 0 "
1.01.04," Estoques "," 0 "," 0 "," 8851 "
1.01.05," Ativos Biológicos "," 22938 "," 6973 "," 0 "
1.01.06," Tributos a Recuperar "," 17975 "," 8464 "," 26959 "
1.01.06.01," Tributos Correntes a Recuperar "," 17975 "," 8464 "," 26959 "
1.01.06.01.01," Tributos a recuperar "," 17975 "," 8464 "," 26959 "
1.01.07," Despesas Antecipadas "," 0 "," 0 "," 838 "
1.01.08," Outros Ativos Circulantes "," 0 "," 0 "," 1484 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 0 "," 0 "," 1484 "
1.01.08.03.01," Tributos diferidos "," 0 "," 0 "," 1484 "
1.02," Ativo Não Circulante "," 434230 "," 573557 "," 395495 "
1.02.01," Ativo Realizável a Longo Prazo "," 46539 "," 76387 "," 116921 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 48716 "," 35825 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 0 "," 48716 "," 35825 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 0 "," 0 "," 15381 "
1.02.01.04," Contas a Receber "," 20044 "," 0 "," 207 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 20044 "," 0 "," 207 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 0 "," 0 "," 18 "
1.02.01.09.01," Créditos com Coligadas "," 0 "," 0 "," 18 "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 26495 "," 27671 "," 65490 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," 26495 "," 25114 "," 44215 "
1.02.01.10.04," Tributos a recuperar "," 0 "," 2557 "," 10135 "
1.02.01.10.05," Tributos diferidos "," 0 "," 0 "," 11140 "
1.02.02," Investimentos "," 332748 "," 451236 "," 95638 "
1.02.02.01," Participações Societárias "," 2297 "," 206530 "," 2818 "
1.02.02.01.01," Participações em Coligadas "," 0 "," 204091 "," 0 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 2297 "," 2439 "," 2818 "
1.02.02.02," Propriedades para Investimento "," 330451 "," 244706 "," 92820 "
1.02.03," Imobilizado "," 54697 "," 45934 "," 182012 "
1.02.03.01," Imobilizado em Operação "," 54697 "," 45934 "," 182012 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 246 "," 0 "," 924 "
1.02.04.01," Intangíveis "," 246 "," 0 "," 924 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
