Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 2424966 "," 2424403 "," 1975317 "
1.01," Ativo Circulante "," 770537 "," 853600 "," 613764 "
1.01.01," Caixa e Equivalentes de Caixa "," 29891 "," 48121 "," 62398 "
1.01.02," Aplicações Financeiras "," 89670 "," 302547 "," 106991 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 89670 "," 302547 "," 106991 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.02.01," Títulos Mantidos até o Vencimento "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 274164 "," 298457 "," 242256 "
1.01.03.01," Clientes "," 274164 "," 298457 "," 242256 "
1.01.03.01.01," Consumidores e concessionárias "," 274164 "," 298457 "," 242256 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 4357 "," 3889 "," 2664 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 142321 "," 38966 "," 83428 "
1.01.06.01," Tributos Correntes a Recuperar "," 142321 "," 38966 "," 83428 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 230134 "," 161620 "," 116027 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 230134 "," 161620 "," 116027 "
1.01.08.03.01," Títulos e créditos a receber "," "," "," "
1.01.08.03.03," Instrumentos financeiros derivativos "," 4338 "," 74651 "," 683 "
1.01.08.03.04," Ativos financeiros setoriais "," 154694 "," 47387 "," 83048 "
1.01.08.03.05," Outros Creditos "," 71102 "," 39582 "," 32296 "
1.02," Ativo Não Circulante "," 1654429 "," 1570803 "," 1361553 "
1.02.01," Ativo Realizável a Longo Prazo "," 1234395 "," 1142779 "," 893736 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.03.01," Títulos Mantidos até o vencimento "," "," "," "
1.02.01.04," Contas a Receber "," 139577 "," 107884 "," 112329 "
1.02.01.04.01," Consumidores e concessionárias "," 139577 "," 107884 "," 112329 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Títulos e Créditos a Receber "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 1094818 "," 1034895 "," 781407 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Tributos a Recuperar "," 149115 "," 270155 "," 7128 "
1.02.01.10.04," Créditos Tributários "," 61383 "," 75978 "," 84001 "
1.02.01.10.05," Depósitos e Cauções Vinculados "," 22962 "," 23954 "," 28075 "
1.02.01.10.06," Instrumentos Financeiros Derivativos "," 29828 "," 20778 "," 104358 "
1.02.01.10.07," Ativo financeiro indenizável da concessão "," 687821 "," 543617 "," 466695 "
1.02.01.10.08," Ativos financeiros setoriais "," 74131 "," 20938 "," 22115 "
1.02.01.10.09," Outros Créditos "," 69578 "," 79475 "," 69035 "
1.02.02," Investimentos "," 366 "," 366 "," 366 "
1.02.02.01," Participações Societárias "," 366 "," 366 "," 366 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," 366 "," 366 "," 366 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 8814 "," 7323 "," 6140 "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 410854 "," 420335 "," 461311 "
1.02.04.01," Intangíveis "," 410854 "," 420335 "," 461311 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Direito de Concessão "," "," "," "
1.02.04.01.03," Ativo Contratual - Infraestrutura em Construção "," 13845 "," -7921 "," -1845 "
1.02.04.01.04," Intangíveis "," 397009 "," 428256 "," 463156 "
