Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 7079081 "," 4740640 "," 0 "
1.01," Ativo Circulante "," 1806032 "," 1629969 "," 0 "
1.01.01," Caixa e Equivalentes de Caixa "," 179059 "," 438679 "," 0 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Títulos e valores mobiliários "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 783124 "," 901924 "," 0 "
1.01.03.01," Clientes "," 783124 "," 901924 "," 0 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 4787 "," 3555 "," 0 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 241128 "," 23755 "," 0 "
1.01.06.01," Tributos Correntes a Recuperar "," 241128 "," 23755 "," 0 "
1.01.06.01.01," Imposto de renda e contribuição social a compensar "," 1925 "," 304 "," 0 "
1.01.06.01.02," Outros tributos a compensar "," 41095 "," 23451 "," 0 "
1.01.06.01.03," PIS/ COFINS a compensar sobre ICMS "," 198108 "," 0 "," 0 "
1.01.07," Despesas Antecipadas "," 19218 "," 13579 "," 0 "
1.01.08," Outros Ativos Circulantes "," 578716 "," 248477 "," 0 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 578716 "," 248477 "," 0 "
1.01.08.03.01," Outros Ativos "," 207493 "," 91986 "," 0 "
1.01.08.03.02," Derivativos "," 0 "," 156491 "," 0 "
1.01.08.03.03," Ativo Financeiro Setorial "," 371223 "," 0 "," 0 "
1.02," Ativo Não Circulante "," 5273049 "," 3110671 "," 0 "
1.02.01," Ativo Realizável a Longo Prazo "," 4297745 "," 2181832 "," 0 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 24107 "," 26464 "," 0 "
1.02.01.04.01," Clientes "," 24107 "," 26464 "," 0 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 0 "," 19459 "," 0 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.07.02," Créditos Fiscais Diferidos "," 0 "," 19459 "," 0 "
1.02.01.08," Despesas Antecipadas "," 179 "," 308 "," 0 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 4273459 "," 2135601 "," 0 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Derivativos "," 178441 "," 199980 "," 0 "
1.02.01.10.04," Depósitos Judiciais "," 212000 "," 198269 "," 0 "
1.02.01.10.05," Outros tributos a compensar "," 30882 "," 24790 "," 0 "
1.02.01.10.06," Ativo Financeiro da Concessão "," 1932004 "," 1602976 "," 0 "
1.02.01.10.07," Outros Ativos "," 678 "," 678 "," 0 "
1.02.01.10.08," Ativo Financeiro Setorial "," 234872 "," 108908 "," 0 "
1.02.01.10.09," PIS/COFINS a compensar sobre ICMS "," 1684582 "," 0 "," 0 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," "," "," "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 975304 "," 928839 "," 0 "
1.02.04.01," Intangíveis "," 975304 "," 928839 "," 0 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Ativo Contratual "," 241053 "," 159983 "," 0 "
1.02.04.01.03," Intangível "," 734251 "," 768856 "," 0 "
