Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 699798 "," 624563 "," 630845 "
1.01," Ativo Circulante "," 89625 "," 91060 "," 140619 "
1.01.01," Caixa e Equivalentes de Caixa "," 31209 "," 56660 "," 116050 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Títulos e valores mobiliários "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 21833 "," 29167 "," 14473 "
1.01.03.01," Clientes "," 21833 "," 29167 "," 14473 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 886 "," 437 "," 7984 "
1.01.06.01," Tributos Correntes a Recuperar "," 886 "," 437 "," 7984 "
1.01.06.01.01," Imposto de renda e Contribuição social a recuperar "," 3 "," 3 "," 7377 "
1.01.06.01.02," Outros tributos a recuperar "," 883 "," 434 "," 607 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 35697 "," 4796 "," 2112 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 35697 "," 4796 "," 2112 "
1.01.08.03.01," Contas a receber de operações de mútuo "," "," "," "
1.01.08.03.02," Outros ativos circulantes "," 35697 "," 4470 "," 2112 "
1.01.08.03.03," Instrumentos financeiros derivativos "," 0 "," 326 "," 0 "
1.02," Ativo Não Circulante "," 610173 "," 533503 "," 490226 "
1.02.01," Ativo Realizável a Longo Prazo "," 52725 "," 47778 "," 22084 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
