Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 26270598 "," 25448693 "," 18133938 "
1.01," Ativo Circulante "," 11274976 "," 10710669 "," 6379483 "
1.01.01," Caixa e Equivalentes de Caixa "," 2840196 "," 2951283 "," 1463013 "
1.01.02," Aplicações Financeiras "," 1829165 "," 2200190 "," 1025845 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 2174918 "," 2251160 "," 1685764 "
1.01.03.01," Clientes "," 2174918 "," 2251160 "," 1685764 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 2745357 "," 2175575 "," 1430550 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 749266 "," 679003 "," 509113 "
1.01.06.01," Tributos Correntes a Recuperar "," 749266 "," 679003 "," 509113 "
1.01.06.01.01," Tributos Correntes a Recuperar "," 453776 "," 519351 "," 395640 "
1.01.06.01.02," Imposto de Renda e Contribuição Social "," 295490 "," 159652 "," 113473 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 936074 "," 453458 "," 265198 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 936074 "," 453458 "," 265198 "
1.01.08.03.01," Partes Relacionadas "," 467198 "," 8090 "," 0 "
1.01.08.03.02," Instrumentos Financeiros Derivativos "," 80263 "," 125276 "," 0 "
1.01.08.03.03," Outros Créditos "," 388613 "," 320092 "," 265198 "
1.02," Ativo Não Circulante "," 14995622 "," 14738024 "," 11754455 "
1.02.01," Ativo Realizável a Longo Prazo "," 3132114 "," 3424528 "," 2284204 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 1055505 "," 353475 "," 374448 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 2076609 "," 3071053 "," 1909756 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 321960 "," 301562 "," 337255 "
1.02.01.10.04," Impostos a Recuperar "," 562377 "," 360805 "," 409214 "
1.02.01.10.05," Outros ativos não circulantes "," 176652 "," 145936 "," 83836 "
1.02.01.10.06," Instrumentos Financeiros Derivativos "," 893970 "," 1768122 "," 737378 "
1.02.01.10.07," Títulos e valores mobiliários "," 36921 "," 16104 "," 7402 "
1.02.01.10.08," Imposto de renda e contribuição social "," 84729 "," 478524 "," 334671 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 4759229 "," 4699996 "," 4393750 "
1.02.03.01," Imobilizado em Operação "," 2031190 "," 1917983 "," 1773889 "
1.02.03.02," Direito de Uso em Arrendamento "," 2728039 "," 2782013 "," 2619861 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 7104279 "," 6613500 "," 5076501 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
