Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 9812277 "," 10216065 "," 10117669 "
1.01," Caixa e Equivalentes de Caixa "," 6752 "," 7774 "," 3446 "
1.01.01," Caixa "," 6752 "," 7774 "," 3446 "
1.01.02," Aplicações de Liquidez "," "," "," "
1.02," Ativos Financeiros "," 8622340 "," 9136860 "," 8941462 "
1.02.01," Depósito Compulsório Banco Central "," "," "," "
1.02.02," Ativos Financeiros Avaliados ao Valor Justo através do Resultado "," "," "," "
1.02.02.01," Títulos e Valores Mobiliários "," "," "," "
1.02.02.02," Derivativos "," "," "," "
1.02.03," Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.03.01," Títulos e Valores Mobiliários "," "," "," "
1.02.04," Ativos Financeiros ao Custo Amortizado "," 8622340 "," 9136860 "," 8941462 "
1.02.04.01," Aplicações em Depósitos Interfinanceiros "," 1389 "," 1330 "," 1294 "
1.02.04.02," Aplicações no Mercado Aberto "," "," "," "
1.02.04.03," Títulos e Valores Mobiliários "," 5614153 "," 6712994 "," 6394907 "
1.02.04.04," Operações de Crédito "," "," "," "
1.02.04.05," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," "," "," "
1.02.04.06," Operações de Arrendamento "," 3059143 "," 2487332 "," 2703709 "
1.02.04.07," Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento "," -52345 "," -64796 "," -158448 "
1.02.04.08," Outros Ativos Financeiros "," "," "," "
1.03," Tributos "," 360628 "," 204112 "," 239648 "
1.03.01," Imposto de Renda e Contribuição Social - Correntes "," "," "," "
1.03.02," Imposto de Renda e Contribuição Social - Diferidos "," "," "," "
1.03.03," Outros "," 360628 "," 204112 "," 239648 "
1.03.03.01," Créditos Tributários "," 360628 "," 204112 "," 239648 "
1.04," Outros Ativos "," 777612 "," 823528 "," 865249 "
1.04.01," Ativos Não Correntes a Venda "," "," "," "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 777612 "," 823528 "," 865249 "
1.05," Investimentos "," 41879 "," 40710 "," 64763 "
1.05.01," Participações em Coligadas "," 41879 "," 40614 "," 58318 "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Participações em Controladas "," "," "," "
1.05.04," Propriedades para Investimento "," "," "," "
1.05.05," Outros Investimentos "," 0 "," 96 "," 6445 "
1.06," Imobilizado "," 3066 "," 3081 "," 3101 "
1.06.01," Imobilizado de Uso "," 25444 "," 25444 "," 25444 "
1.06.02," Direito de Uso de Arrendamento "," "," "," "
1.06.03," Depreciação Acumulada "," -22378 "," -22363 "," -22343 "
1.07," Intangível "," "," "," "
1.07.01," Intangíveis "," "," "," "
1.07.02," Goodwill "," "," "," "
1.07.03," Amortização Acumulada "," "," "," "
