Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 503026 "," 492609 "," 504628 "
1.01," Ativo Circulante "," 231140 "," 196827 "," 184200 "
1.01.01," Caixa e Equivalentes de Caixa "," 19176 "," 21015 "," 5834 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 20943 "," 19222 "," 10795 "
1.01.03.01," Clientes "," 20943 "," 19222 "," 10795 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 41127 "," 31932 "," 30436 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 64608 "," 29884 "," 38271 "
1.01.06.01," Tributos Correntes a Recuperar "," 64608 "," 29884 "," 38271 "
1.01.07," Despesas Antecipadas "," 278 "," 127 "," 1165 "
1.01.08," Outros Ativos Circulantes "," 85008 "," 94647 "," 97699 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," 45962 "," 73887 "," 68670 "
1.01.08.02.01," Ativos Classificados como Mantidos para Venda "," 45962 "," 73887 "," 68670 "
1.01.08.03," Outros "," 39046 "," 20760 "," 29029 "
1.01.08.03.01," Títulos e Valores Mobiliários - Restrito "," "," "," "
1.01.08.03.02," Adiantamento a fornecedores "," 5669 "," 5813 "," 7826 "
1.01.08.03.03," Outras Contas a Receber "," 33377 "," 14947 "," 21203 "
1.02," Ativo Não Circulante "," 271886 "," 295782 "," 320428 "
1.02.01," Ativo Realizável a Longo Prazo "," 17725 "," 54827 "," 98224 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 17725 "," 54827 "," 98224 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 10456 "," 12175 "," 24986 "
1.02.01.10.04," Títulos e Valores Mobiliarios Restritos "," 44 "," 44 "," 1788 "
1.02.01.10.05," Tributos a Recuperar "," 1133 "," 34494 "," 55136 "
1.02.01.10.06," Outras Contas a Receber "," 6091 "," 6091 "," 13026 "
1.02.01.10.07," Ativos Classificados como Mantidos para a Venda "," 0 "," 2022 "," 3287 "
1.02.01.10.08," Outros Créditos "," 1 "," 1 "," 1 "
1.02.02," Investimentos "," 21942 "," 28371 "," 51039 "
1.02.02.01," Participações Societárias "," 0 "," 1 "," 587 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 0 "," 1 "," 587 "
1.02.02.02," Propriedades para Investimento "," 21942 "," 28370 "," 50452 "
1.02.03," Imobilizado "," 147474 "," 126799 "," 84155 "
1.02.03.01," Imobilizado em Operação "," 146141 "," 119699 "," 74558 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," 1333 "," 7100 "," 9597 "
1.02.04," Intangível "," 84745 "," 85785 "," 87010 "
1.02.04.01," Intangíveis "," 2579 "," 3619 "," 4844 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Softwares e Outras Licenças "," 1085 "," 1761 "," 2606 "
1.02.04.01.03," Desenvolvimento de Novos Produtos "," 1494 "," 1858 "," 2238 "
1.02.04.02," Goodwill "," 82166 "," 82166 "," 82166 "
