Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 1933841 "," 1921049 "
1.01," Ativo Circulante "," 582488 "," 990135 "
1.01.01," Caixa e Equivalentes de Caixa "," 16422 "," 34847 "
1.01.02," Aplicações Financeiras "," 315140 "," 701999 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 315140 "," 701999 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.01.03," Aplicações Garantidoras de Provisões Técnicas "," 882 "," 159388 "
1.01.02.01.04," Aplicações Livres "," 314258 "," 542611 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 191074 "," 171327 "
1.01.03.01," Clientes "," 157193 "," 146674 "
1.01.03.01.01," Contraprestações Pecuniárias/Prêmios a Receber "," 161420 "," 154488 "
1.01.03.01.02," (-) Provisão para Perdas sobre Créditos "," -24800 "," -30738 "
1.01.03.01.03," Participação de Beneficiários em Eventos/Sinistros Indenizáveis "," 811 "," 1486 "
1.01.03.01.05," Operadoras de Planos de Assitência à Saúde "," 8455 "," 7631 "
1.01.03.01.06," Outros Créditos de Operações com Planos de Assistência a Saúde "," 11307 "," 13807 "
1.01.03.02," Outras Contas a Receber "," 33881 "," 24653 "
1.01.03.02.01," Adiantamentos a Fornecedores e Outros "," 9051 "," 2859 "
1.01.03.02.02," Adiantamentos a Funcionários "," 7126 "," 6518 "
1.01.03.02.03," Demais Créditos a Receber "," 17704 "," 15276 "
1.01.04," Estoques "," 4421 "," 3882 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 19912 "," 45098 "
1.01.06.01," Tributos Correntes a Recuperar "," 19912 "," 45098 "
1.01.06.01.01," Créditos Tributários e Previdenciários "," 19912 "," 45098 "
1.01.07," Despesas Antecipadas "," 35519 "," 32982 "
1.01.07.01," Despesas de Comercialização Diferidas "," 30292 "," 26152 "
1.01.07.20," Outras "," 5227 "," 6830 "
1.01.08," Outros Ativos Circulantes "," "," "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," "," "
1.02," Ativo Não Circulante "," 1351353 "," 930914 "
1.02.01," Ativo Realizável a Longo Prazo "," 480326 "," 88106 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 399487 "," 16541 "
1.02.01.03.01," Aplicações Garantidoras de Provisões Técnicas "," 179270 "," 16541 "
1.02.01.03.02," Aplicações livres "," 220217 "," 0 "
1.02.01.04," Contas a Receber "," "," "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 28097 "," 35659 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 28097 "," 35659 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 52742 "," 35906 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Depósitos Judiciais e Fiscais "," 25366 "," 20104 "
1.02.01.10.04," Outros Créditos a Receber "," 27297 "," 15702 "
1.02.01.10.05," Títulos e Créditos a Receber "," 79 "," 100 "
1.02.01.10.06," Créditos Tributários e Previdenciários (Tributos a Recuperar) "," "," "
1.02.02," Investimentos "," 14493 "," 12992 "
1.02.02.01," Participações Societárias "," 14493 "," 12992 "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," 13204 "," 11785 "
1.02.02.01.05," Outros Investimentos "," 1289 "," 1207 "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 70235 "," 64004 "
1.02.03.01," Imobilizado em Operação "," 29517 "," 30784 "
1.02.03.01.01," Imobilizado de Uso Próprio "," 21895 "," 23554 "
1.02.03.01.02," Outras Imobilizações "," 7622 "," 7230 "
1.02.03.02," Direito de Uso em Arrendamento "," 40718 "," 33220 "
1.02.03.02.01," Direito de Uso (CPC 06 (R2)/IFRS 16) "," 40718 "," 33220 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.03.03.01," Imobilizado em Curso "," "," "
1.02.04," Intangível "," 786299 "," 765812 "
1.02.04.01," Intangíveis "," 786299 "," 765812 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.01.02," Àgio na Aquisição de Investimentos "," 663990 "," 647057 "
1.02.04.01.03," Desenvolvimento de Sistemas, Licenças de Uso de Softwares "," 88356 "," 85378 "
1.02.04.01.05," Ativos Intangíveis Alocados "," 33953 "," 33377 "
1.02.04.02," Goodwill "," "," "
