Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3754136 "," 2824635 "," 1945403 "
1.01," Ativo Circulante "," 3120040 "," 2211237 "," 1471763 "
1.01.01," Caixa e Equivalentes de Caixa "," 359007 "," 544162 "," 460714 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 762625 "," 698044 "," 258642 "
1.01.03.01," Clientes "," 762625 "," 698044 "," 258642 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 1690347 "," 645750 "," 494422 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 176025 "," 221036 "," 124615 "
1.01.06.01," Tributos Correntes a Recuperar "," 176025 "," 221036 "," 124615 "
1.01.06.01.01," Impostos a Recuperar "," 157222 "," 183356 "," 87826 "
1.01.06.01.02," IRPJ e CSLL "," 18803 "," 37680 "," 36789 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 132036 "," 102245 "," 133370 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 132036 "," 102245 "," 133370 "
1.01.08.03.01," Instrumentos Financeiros Derivativos "," 4482 "," 4474 "," 0 "
1.01.08.03.02," Partes Relacionadas "," 14502 "," 20410 "," 20378 "
1.01.08.03.03," Adiantamentos Diversos "," 56229 "," 48753 "," 60535 "
1.01.08.03.04," Outros Créditos "," 56823 "," 28608 "," 52457 "
1.02," Ativo Não Circulante "," 634096 "," 613398 "," 473640 "
1.02.01," Ativo Realizável a Longo Prazo "," 339982 "," 337585 "," 206351 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 0 "," 0 "," 70 "
1.02.01.04.01," Clientes "," 0 "," 0 "," 70 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 624 "," 599 "," 60296 "
1.02.01.07.01," Tributos Diferidos "," 624 "," 599 "," 60296 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 339358 "," 336986 "," 145985 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos a Recuperar "," 275722 "," 275415 "," 86096 "
1.02.01.10.04," Outros Créditos "," 63636 "," 61571 "," 59889 "
1.02.02," Investimentos "," 114226 "," 91692 "," 73433 "
1.02.02.01," Participações Societárias "," 114226 "," 91692 "," 73433 "
1.02.02.01.01," Participações em Coligadas "," 76284 "," 53154 "," 27317 "
1.02.02.01.04," Participações em Controladas em Conjunto "," 37942 "," 38538 "," 46116 "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 92894 "," 86298 "," 88718 "
1.02.03.01," Imobilizado em Operação "," 60279 "," 47700 "," 47024 "
1.02.03.01.01," Imobilizado "," 60279 "," 47700 "," 47024 "
1.02.03.02," Direito de Uso em Arrendamento "," 32615 "," 38598 "," 41694 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 86994 "," 97823 "," 105138 "
1.02.04.01," Intangíveis "," 34264 "," 42707 "," 47636 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangível "," 34264 "," 42707 "," 47636 "
1.02.04.02," Goodwill "," 52730 "," 55116 "," 57502 "
1.02.04.02.01," Mais Valia em Investimento "," 9621 "," 12007 "," 14393 "
1.02.04.02.02," Ágio em Controlada "," 43109 "," 43109 "," 43109 "
