Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 116500 "," 121069 "," 173489 "
1.01," Ativo Circulante "," 20785 "," 26463 "," 71888 "
1.01.01," Caixa e Equivalentes de Caixa "," 2113 "," 95 "," 280 "
1.01.02," Aplicações Financeiras "," 12147 "," 17389 "," 60951 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 12147 "," 17389 "," 60951 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações Financeiras "," 12147 "," 17389 "," 60951 "
1.01.02.01.04," Certificados de Recebíveis Imobiliários (CRI) "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 3966 "," 5007 "," 2982 "
1.01.03.01," Clientes "," 3526 "," 4483 "," 2672 "
1.01.03.02," Outras Contas a Receber "," 440 "," 524 "," 310 "
1.01.03.02.01," Mútuos a Receber - Partes Relacionadas "," "," "," "
1.01.03.02.02," Contas a Receber de Terceiros "," 437 "," 521 "," 310 "
1.01.03.02.03," Adiantamentos "," 3 "," 3 "," 0 "
1.01.04," Estoques "," 122 "," 1655 "," 5426 "
1.01.04.01," Imovéris a Comercializar "," 122 "," 1655 "," 5426 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," "," "," "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 2437 "," 2317 "," 2249 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 2437 "," 2317 "," 2249 "
1.01.08.03.02," Impostos e Contribuições a Compensar "," 965 "," 889 "," 791 "
1.01.08.03.03," Valores Caucionados "," "," "," "
1.01.08.03.04," Outros Ativos "," 1472 "," 1428 "," 1458 "
1.01.08.03.05," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02," Ativo Não Circulante "," 95715 "," 94606 "," 101601 "
1.02.01," Ativo Realizável a Longo Prazo "," 95509 "," 92966 "," 98582 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 3193 "," 1381 "," 13846 "
1.02.01.04.01," Clientes "," 3119 "," 1070 "," 13336 "
1.02.01.04.02," Outras Contas a Receber "," 74 "," 311 "," 510 "
1.02.01.05," Estoques "," 87900 "," 86839 "," 79896 "
1.02.01.05.01," Imóveis a Comercializar "," 87900 "," 86839 "," 79896 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 4416 "," 4746 "," 4840 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Outros Ativos "," 4416 "," 4746 "," 4840 "
1.02.01.10.04," Outros Valores a Receber de Partes Relacionadas "," "," "," "
1.02.02," Investimentos "," 0 "," 1620 "," 2993 "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 0 "," 1620 "," 2993 "
1.02.03," Imobilizado "," 171 "," 20 "," 26 "
1.02.03.01," Imobilizado em Operação "," 171 "," 20 "," 26 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 35 "," 0 "," 0 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
