Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 6743747 "," 3791938 "," 4200389 "
1.01," Ativo Circulante "," 2589164 "," 1095344 "," 1286169 "
1.01.01," Caixa e Equivalentes de Caixa "," 516741 "," 54849 "," 75028 "
1.01.01.01," Depósitos bancários à vista "," 38771 "," 30679 "," 34474 "
1.01.01.02," Investimentos e fundos de investimentos "," 477970 "," 24170 "," 40554 "
1.01.02," Aplicações Financeiras "," 495712 "," 0 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 495712 "," 0 "," 0 "
1.01.02.01.01," Títulos para Negociação "," 495712 "," 0 "," 0 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 1225683 "," 1010649 "," 1167692 "
1.01.03.01," Clientes "," 923677 "," 737308 "," 711166 "
1.01.03.01.01," Contas a receber de clientes "," 923677 "," 737308 "," 711166 "
1.01.03.02," Outras Contas a Receber "," 302006 "," 273341 "," 456526 "
1.01.03.02.01," Outros créditos a receber "," 117042 "," 168485 "," 357067 "
1.01.03.02.02," Serviços pedidos "," 32133 "," 36865 "," 0 "
1.01.03.02.03," Valores a receber de parcela A e outros itens financeiros "," 152734 "," 67991 "," 99459 "
1.01.03.02.04," Instrumentos financeiro derivativos "," 97 "," 0 "," 0 "
1.01.04," Estoques "," 15233 "," 21849 "," 37672 "
1.01.04.01," Almoxarifado "," 15233 "," 21849 "," 37672 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 335795 "," 7997 "," 5777 "
1.01.06.01," Tributos Correntes a Recuperar "," 335795 "," 7997 "," 5777 "
1.01.06.01.01," Impostos e contribuições a recuperar "," 326801 "," 1083 "," 5777 "
1.01.06.01.02," Impostos e contribuições sobre o lucro a recuperar "," 8994 "," 6914 "," 0 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," "," "," "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," "," "," "
1.02," Ativo Não Circulante "," 4154583 "," 2696594 "," 2914220 "
1.02.01," Ativo Realizável a Longo Prazo "," 1950120 "," 847226 "," 877128 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 179781 "," 88773 "," 77934 "
1.02.01.04.01," Contas a receber de clientes "," 179781 "," 88773 "," 77934 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 1770339 "," 758453 "," 799194 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.04," Depósitos Judiciais "," 200196 "," 167621 "," 125405 "
1.02.01.10.05," Ativo Financeiro da Concessão "," 426473 "," 253046 "," 222738 "
1.02.01.10.06," Ativos de contrato "," 120128 "," 265544 "," 353089 "
1.02.01.10.07," Impostos e contribuições a recuperar "," 734485 "," 66673 "," 53617 "
1.02.01.10.08," Bens e Direitos Destinados a Alienação "," 635 "," 3698 "," 42457 "
1.02.01.10.09," Valores a receber de parcela A e outros itens financeiros "," 266090 "," 0 "," 0 "
1.02.01.10.10," Instrumentos financeiro derivativos "," 20455 "," 0 "," 0 "
1.02.01.10.11," Outros Créditos a Receber "," 1877 "," 1871 "," 1888 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 100782 "," 229664 "," 246570 "
1.02.03.01," Imobilizado em Operação "," 69292 "," 192359 "," 200684 "
1.02.03.02," Direito de Uso em Arrendamento "," 31490 "," 37305 "," 45886 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 2103681 "," 1619704 "," 1790522 "
1.02.04.01," Intangíveis "," 2103681 "," 1619704 "," 1790522 "
1.02.04.01.01," Contrato de Concessão "," 2103681 "," 1619704 "," 1790522 "
1.02.04.01.02," Software "," "," "," "
