Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 12866343 "," 8589691 "," 6958129 "
1.01," Ativo Circulante "," 5109406 "," 4201380 "," 3090810 "
1.01.01," Caixa e Equivalentes de Caixa "," 139780 "," 1604053 "," 829427 "
1.01.01.01," Caixa e Equivalentes de Caixa "," 139780 "," 1604053 "," 829427 "
1.01.02," Aplicações Financeiras "," 0 "," 0 "," 55342 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 0 "," 55342 "
1.01.02.01.01," Títulos para Negociação "," 0 "," 0 "," 55342 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 330508 "," 346882 "," 297936 "
1.01.03.01," Clientes "," 147414 "," 207283 "," 178405 "
1.01.03.02," Outras Contas a Receber "," 183094 "," 139599 "," 119531 "
1.01.03.02.01," Adiantamentos a Fornecedores "," 29502 "," 3580 "," 2443 "
1.01.03.02.02," Operações com Derivativos "," 107676 "," 98587 "," 34008 "
1.01.03.02.03," Titulos e creditos a Receber "," 21919 "," 31207 "," 71657 "
1.01.03.02.04," Créditos com Partes Relacionadas "," 20 "," 8 "," 11 "
1.01.03.02.05," Outras Contas a Receber "," 23977 "," 6217 "," 11412 "
1.01.04," Estoques "," 2806365 "," 1301082 "," 1071354 "
1.01.05," Ativos Biológicos "," 1690969 "," 891804 "," 780589 "
1.01.06," Tributos a Recuperar "," 126936 "," 39447 "," 41943 "
1.01.06.01," Tributos Correntes a Recuperar "," 126936 "," 39447 "," 41943 "
1.01.07," Despesas Antecipadas "," 14275 "," 17141 "," 14030 "
1.01.08," Outros Ativos Circulantes "," 573 "," 971 "," 189 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," 573 "," 971 "," 189 "
1.01.08.03," Outros "," "," "," "
1.02," Ativo Não Circulante "," 7756937 "," 4388311 "," 3867319 "
1.02.01," Ativo Realizável a Longo Prazo "," 863596 "," 355787 "," 200926 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 684 "," 663 "," 650 "
1.02.01.03.01," Títulos Mantidos até o Vencimento "," 684 "," 663 "," 650 "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 405662 "," 20480 "," 22517 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 405662 "," 20480 "," 22517 "
1.02.01.08," Despesas Antecipadas "," 19 "," 437 "," 528 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 457231 "," 334207 "," 177231 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Tributos a Recuperar "," 152690 "," 111203 "," 122469 "
1.02.01.10.04," Operações com Derivativos "," 183607 "," 146785 "," 11328 "
1.02.01.10.05," Outras Contas a Receber "," 19770 "," 13705 "," 7945 "
1.02.01.10.06," Adiantamentos a fornecedores "," 74202 "," 59814 "," 30241 "
1.02.01.10.07," Titulos e creditos a Receber "," 26962 "," 2700 "," 5248 "
1.02.02," Investimentos "," 334909 "," 224194 "," 217010 "
1.02.02.01," Participações Societárias "," 1640 "," 0 "," 0 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 1640 "," 0 "," 0 "
1.02.02.02," Propriedades para Investimento "," 333269 "," 224194 "," 217010 "
1.02.03," Imobilizado "," 6440248 "," 3773040 "," 3434020 "
1.02.03.01," Imobilizado em Operação "," 3321052 "," 2933711 "," 2858958 "
1.02.03.02," Direito de Uso em Arrendamento "," 3042185 "," 828496 "," 555031 "
1.02.03.02.01," Ativo de direito de uso "," 3042185 "," 828496 "," 555031 "
1.02.03.03," Imobilizado em Andamento "," 77011 "," 10833 "," 20031 "
1.02.04," Intangível "," 118184 "," 35290 "," 15363 "
1.02.04.01," Intangíveis "," 70829 "," 35290 "," 15363 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Implantação de Novos Sistemas "," 4715 "," 30661 "," 12379 "
1.02.04.01.03," Outros (sistema "," 66114 "," 4629 "," 2984 "
1.02.04.02," Goodwill "," 47355 "," 0 "," 0 "
