Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 63044000 "," 49917785 "," 33282334 "
1.01," Caixa e Equivalentes de Caixa "," 1275033 "," 3812518 "," 2592027 "
1.01.01," Caixa "," 599149 "," 526220 "," 693877 "
1.01.02," Aplicações de Liquidez "," 675884 "," 3286298 "," 1898150 "
1.02," Ativos Financeiros "," 54190235 "," 40110063 "," 26025695 "
1.02.01," Depósito Compulsório Banco Central "," 435631 "," 217672 "," 67220 "
1.02.02," Ativos Financeiros Avaliados ao Valor Justo através do Resultado "," 2558267 "," 1647666 "," 807841 "
1.02.02.01," Títulos e Valores Mobiliários "," 1622669 "," 458956 "," 658057 "
1.02.02.02," Derivativos "," 935598 "," 1188710 "," 149784 "
1.02.03," Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes "," 8439780 "," 5117634 "," 1355450 "
1.02.03.01," Títulos e Valores Mobiliários "," 8439780 "," 5117634 "," 1355450 "
1.02.04," Ativos Financeiros ao Custo Amortizado "," 42756557 "," 33127091 "," 23795184 "
1.02.04.01," Aplicações em Depósitos Interfinanceiros "," "," "," "
1.02.04.02," Aplicações no Mercado Aberto "," 2347626 "," 1302730 "," 325930 "
1.02.04.03," Títulos e Valores Mobiliários "," 16843 "," 15685 "," 12165 "
1.02.04.04," Operações de Crédito "," 40386686 "," 32225878 "," 23767655 "
1.02.04.05," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," -1568766 "," -1465942 "," -1259184 "
1.02.04.06," Operações de Arrendamento "," 1591634 "," 1063520 "," 965855 "
1.02.04.07," Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento "," -17466 "," -14780 "," -17237 "
1.02.04.08," Outros Ativos Financeiros "," "," "," "
1.03," Tributos "," 1646509 "," 1606398 "," 1423947 "
1.03.01," Imposto de Renda e Contribuição Social - Correntes "," 274295 "," 220528 "," 190568 "
1.03.02," Imposto de Renda e Contribuição Social - Diferidos "," 1372214 "," 1385870 "," 1233379 "
1.03.03," Outros "," "," "," "
1.04," Outros Ativos "," 5552510 "," 4078872 "," 3024631 "
1.04.01," Ativos Não Correntes a Venda "," 85934 "," 76288 "," 108892 "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 5466576 "," 4002584 "," 2915739 "
1.05," Investimentos "," 52814 "," 63223 "," 3071 "
1.05.01," Participações em Coligadas "," "," "," "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Propriedades para Investimento "," "," "," "
1.05.04," Outros Investimentos "," 52814 "," 63223 "," 3071 "
1.06," Imobilizado "," 326642 "," 246360 "," 212946 "
1.06.01," Imobilizado de Uso "," 291561 "," 200339 "," 168077 "
1.06.02," Direito de Uso de Arrendamento "," 35081 "," 46021 "," 44869 "
1.06.03," Depreciação Acumulada "," "," "," "
1.07," Intangível "," 257 "," 351 "," 17 "
1.07.01," Intangíveis "," 257 "," 351 "," 17 "
1.07.02," Goodwill "," "," "," "
1.07.03," Amortização Acumulada "," "," "," "
