Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 4306710 "," 4354640 "," 4627984 "
1.01," Ativo Circulante "," 2669440 "," 3178735 "," 3489631 "
1.01.01," Caixa e Equivalentes de Caixa "," 136313 "," 115886 "," 194196 "
1.01.02," Aplicações Financeiras "," 239665 "," 333621 "," 386754 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 239665 "," 333621 "," 386754 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 239665 "," 333621 "," 386754 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 406155 "," 584510 "," 545929 "
1.01.03.01," Clientes "," 406155 "," 584510 "," 545929 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 1795658 "," 2074035 "," 2321538 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 4608 "," 5261 "," 6639 "
1.01.06.01," Tributos Correntes a Recuperar "," 4608 "," 5261 "," 6639 "
1.01.07," Despesas Antecipadas "," 9933 "," 9936 "," 5409 "
1.01.07.01," Despesas com Vendas a Apropriar "," 9933 "," 9936 "," 5409 "
1.01.08," Outros Ativos Circulantes "," 77108 "," 55486 "," 29166 "
1.01.08.01," Ativos Não-Correntes a Venda "," 832 "," 832 "," 1713 "
1.01.08.01.01," Conta Corrente com Parceiros nos Empreendimentos "," 832 "," 832 "," 1713 "
1.01.08.01.03," Outros "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 76276 "," 54654 "," 27453 "
1.02," Ativo Não Circulante "," 1637270 "," 1175905 "," 1138353 "
1.02.01," Ativo Realizável a Longo Prazo "," 1108813 "," 840999 "," 839464 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 370726 "," 231329 "," 236617 "
1.02.01.04.01," Clientes "," 370726 "," 231329 "," 236617 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," 653339 "," 491690 "," 519440 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," 13691 "," 68756 "," 69868 "
1.02.01.09," Créditos com Partes Relacionadas "," 49779 "," 30522 "," 0 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 21278 "," 18702 "," 13539 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Empréstimos "," "," "," "
1.02.01.10.04," Depósitos Judiciais "," 21278 "," 18702 "," 13539 "
1.02.02," Investimentos "," 433234 "," 263573 "," 237518 "
1.02.02.01," Participações Societárias "," 331902 "," 263573 "," 237518 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 101332 "," 0 "," 0 "
1.02.03," Imobilizado "," 94405 "," 70583 "," 60775 "
1.02.03.01," Imobilizado em Operação "," 94405 "," 70583 "," 60775 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 818 "," 750 "," 596 "
1.02.04.01," Intangíveis "," 818 "," 750 "," 596 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
