Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 43342903 "," 40239343 "," 32645825 "
1.01," Caixa e Equivalentes de Caixa "," 731091 "," 513293 "," 297187 "
1.01.01," Caixa "," "," "," "
1.01.02," Aplicações de Liquidez "," "," "," "
1.02," Ativos Financeiros "," 39964176 "," 37519282 "," 31090913 "
1.02.01," Depósito Compulsório Banco Central "," 18056 "," 28812 "," 88576 "
1.02.01.01," Derivativos utilizados como hedge de valor justo "," 0 "," 0 "," 47230 "
1.02.01.02," Operações de Crédito - Valor justo através do Resultado "," 18056 "," 28812 "," 41346 "
1.02.02," Ativos Financeiros Avaliados ao Valor Justo através do Resultado "," 7724259 "," 3012136 "," 2991190 "
1.02.02.01," Títulos e Valores Mobiliários "," 5061964 "," 884590 "," 1988859 "
1.02.02.02," Derivativos "," 2662295 "," 2127546 "," 1002331 "
1.02.03," Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes "," 1810201 "," 2171380 "," 1897940 "
1.02.03.01," Títulos e Valores Mobiliários "," 1810201 "," 2171380 "," 1897940 "
1.02.04," Ativos Financeiros ao Custo Amortizado "," 30411660 "," 32306954 "," 26113207 "
1.02.04.01," Aplicações em Depósitos Interfinanceiros "," "," "," "
1.02.04.02," Aplicações no Mercado Aberto "," "," "," "
1.02.04.03," Títulos e Valores Mobiliários "," 2282278 "," 2029359 "," 781354 "
1.02.04.04," Operações de Crédito "," 25377971 "," 23071012 "," 20216729 "
1.02.04.05," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," "," "," "
1.02.04.06," Operações de Arrendamento "," "," "," "
1.02.04.07," Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento "," "," "," "
1.02.04.08," Outros Ativos Financeiros "," 2751411 "," 7206583 "," 5115124 "
1.03," Tributos "," "," "," "
1.03.01," Imposto de Renda e Contribuição Social - Correntes "," "," "," "
1.03.02," Imposto de Renda e Contribuição Social - Diferidos "," "," "," "
1.03.03," Outros "," "," "," "
1.04," Outros Ativos "," 2531058 "," 2112818 "," 1188726 "
1.04.01," Ativos Não Correntes a Venda "," "," "," "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 2531058 "," 2112818 "," 1188726 "
1.05," Investimentos "," "," "," "
1.05.01," Participações em Coligadas "," "," "," "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Propriedades para Investimento "," "," "," "
1.05.04," Outros Investimentos "," "," "," "
1.06," Imobilizado "," 22693 "," 23612 "," 25660 "
1.06.01," Imobilizado de Uso "," 22693 "," 23612 "," 25660 "
1.06.02," Direito de Uso de Arrendamento "," "," "," "
1.06.03," Depreciação Acumulada "," "," "," "
1.07," Intangível "," 93885 "," 70338 "," 43339 "
1.07.01," Intangíveis "," 93885 "," 70338 "," 43339 "
1.07.02," Goodwill "," "," "," "
1.07.03," Amortização Acumulada "," "," "," "
