Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 9897795 "," 9265266 "," 5512492 "
1.01," Ativo Circulante "," 2973560 "," 2736397 "," 1475684 "
1.01.01," Caixa e Equivalentes de Caixa "," 905461 "," 28407 "," 12251 "
1.01.01.01," Disponibilidades e Valores Equivalentes "," 905461 "," 28407 "," 12251 "
1.01.02," Aplicações Financeiras "," 908779 "," 1604869 "," 596861 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 908779 "," 1604869 "," 596861 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Certificados de Depósitos Bancários - CDB "," 0 "," 707506 "," 43303 "
1.01.02.01.04," Debêntures de Instituições Financeiras "," 0 "," 78575 "," 0 "
1.01.02.01.05," Fundo de Investimento "," 908779 "," 759691 "," 553558 "
1.01.02.01.06," Crédito Corporativo "," 0 "," 59097 "," 0 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 957746 "," 890151 "," 759622 "
1.01.03.01," Clientes "," 957746 "," 890151 "," 759622 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," "," "," "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," 10140 "," 8178 "," 7034 "
1.01.08," Outros Ativos Circulantes "," 191434 "," 204792 "," 99916 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 191434 "," 204792 "," 99916 "
1.01.08.03.01," Impostos e Contribuições "," 163664 "," 137601 "," 80050 "
1.01.08.03.02," Outros "," 27770 "," 33879 "," 19866 "
1.01.08.03.03," Instrumentos Financeiros Derivativos - Swap "," 0 "," 33312 "," 0 "
1.02," Ativo Não Circulante "," 6924235 "," 6528869 "," 4036808 "
1.02.01," Ativo Realizável a Longo Prazo "," 880366 "," 890948 "," 693832 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 356104 "," 326769 "," 163025 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 356104 "," 326769 "," 163025 "
1.02.01.08," Despesas Antecipadas "," 8044 "," 4058 "," 4758 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 516218 "," 560121 "," 526049 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judicais "," 100619 "," 102688 "," 76090 "
1.02.01.10.04," Impostos e Contribuições "," 129062 "," 107726 "," 176425 "
1.02.01.10.05," Contas a Receber "," 273632 "," 214160 "," 261600 "
1.02.01.10.06," Outros "," 12905 "," 14760 "," 11934 "
1.02.01.10.07," Instrumentos Financeiros Derivativos - Swap "," 0 "," 120787 "," 0 "
1.02.02," Investimentos "," 338 "," 338 "," 338 "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 338 "," 338 "," 338 "
1.02.02.02.01," Obras de Arte "," 338 "," 338 "," 338 "
1.02.03," Imobilizado "," 2534968 "," 2451044 "," 1732222 "
1.02.03.01," Imobilizado em Operação "," 1174010 "," 1135935 "," 706740 "
1.02.03.01.01," Imobilizado em Operação "," 1174010 "," 1135935 "," 706740 "
1.02.03.02," Direito de Uso em Arrendamento "," 1296980 "," 1253657 "," 983692 "
1.02.03.02.01," Imobilizado Arrendado "," 1296980 "," 1253657 "," 983692 "
1.02.03.03," Imobilizado em Andamento "," 63978 "," 61452 "," 41790 "
1.02.03.03.01," Imobilizado em Andamento "," 63978 "," 61452 "," 41790 "
1.02.04," Intangível "," 3508563 "," 3186539 "," 1610416 "
1.02.04.01," Intangíveis "," 3508563 "," 3186539 "," 1610416 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Outros Intangíveis "," 1168883 "," 1012986 "," 341284 "
1.02.04.01.03," Ágio "," 2339680 "," 2173553 "," 1269132 "
1.02.04.02," Goodwill "," "," "," "
