Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 4892885 "," 4924971 "," 5311608 "
1.01," Ativo Circulante "," 920081 "," 534279 "," 1004566 "
1.01.01," Caixa e Equivalentes de Caixa "," 447021 "," 156076 "," 401301 "
1.01.01.01," Caixa e Bancos "," 26559 "," 29182 "," 26627 "
1.01.01.02," Aplicações financeiras "," 420462 "," 126894 "," 374674 "
1.01.02," Aplicações Financeiras "," 293287 "," 260141 "," 497908 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 293287 "," 260141 "," 497908 "
1.01.02.01.01," Títulos para Negociação "," 293287 "," 260141 "," 497908 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 89477 "," 88302 "," 75190 "
1.01.03.01," Clientes "," 89477 "," 88302 "," 75190 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 1066 "," 944 "," 944 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 9765 "," 8537 "," 13131 "
1.01.06.01," Tributos Correntes a Recuperar "," 9765 "," 8537 "," 13131 "
1.01.06.01.01," Impostos a Compensar "," 9765 "," 8537 "," 13131 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 79465 "," 20279 "," 16092 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 79465 "," 20279 "," 16092 "
1.01.08.03.01," Dividendos a receber "," 2 "," 3506 "," 2 "
1.01.08.03.02," Demais contas a receber "," 64600 "," 14785 "," 14102 "
1.01.08.03.03," Adiantamento a fornecedores "," 14863 "," 1988 "," 1988 "
1.02," Ativo Não Circulante "," 3972804 "," 4390692 "," 4307042 "
1.02.01," Ativo Realizável a Longo Prazo "," 279827 "," 185562 "," 171195 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 46795 "," 55092 "," 33479 "
1.02.01.04.01," Clientes "," 46795 "," 55092 "," 33479 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," 42618 "," 42618 "," 42618 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 4646 "," 888 "," 1187 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Adiantamento para Futuro Aumento de Capital "," 4646 "," 888 "," 1187 "
1.02.01.10," Outros Ativos Não Circulantes "," 185768 "," 86964 "," 93911 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Créditos com os parceiros nos empreendimentos "," 0 "," 0 "," 325 "
1.02.01.10.04," Impostos a compensar "," 54794 "," 45079 "," 52504 "
1.02.01.10.05," Depósitos Judiciais "," 3389 "," 176 "," 176 "
1.02.01.10.06," Demais contas a receber "," 127585 "," 41709 "," 40906 "
1.02.01.10.07," Adiantamento por aquisições de imóveis "," "," "," "
1.02.01.10.08," Adiantamento a fornecedores "," "," "," "
1.02.01.10.09," Títulos e valores mobiliários "," "," "," "
1.02.02," Investimentos "," 3680199 "," 4193158 "," 4125743 "
1.02.02.01," Participações Societárias "," 437355 "," 231583 "," 227556 "
1.02.02.01.01," Participações em Coligadas "," 437355 "," 220833 "," 222509 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 0 "," 10750 "," 5047 "
1.02.02.02," Propriedades para Investimento "," 3242844 "," 3961575 "," 3898187 "
1.02.03," Imobilizado "," 5711 "," 7899 "," 8942 "
1.02.03.01," Imobilizado em Operação "," 5711 "," 7899 "," 8942 "
1.02.03.01.01," Imobilizado Arrendado "," "," "," "
1.02.03.01.02," Imobilizado em Andamento "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 7067 "," 4073 "," 1162 "
1.02.04.01," Intangíveis "," 7067 "," 4073 "," 1162 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Softwares "," 7067 "," 4073 "," 1162 "
1.02.04.02," Goodwill "," "," "," "
