Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1626757 "," 1527003 "," 1711262 "
1.01," Ativo Circulante "," 771369 "," 534451 "," 668077 "
1.01.01," Caixa e Equivalentes de Caixa "," 140836 "," 82471 "," 67217 "
1.01.02," Aplicações Financeiras "," 13762 "," 13544 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 13762 "," 13544 "," 0 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 13762 "," 13544 "," 0 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 213118 "," 162187 "," 351405 "
1.01.03.01," Clientes "," 192804 "," 130839 "," 231996 "
1.01.03.02," Outras Contas a Receber "," 20314 "," 31348 "," 119409 "
1.01.03.02.01," Contas a receber de partes relacionadas "," 0 "," 27164 "," 110445 "
1.01.03.02.02," Outras contas a receber "," 20314 "," 4184 "," 8964 "
1.01.04," Estoques "," 286803 "," 164612 "," 114660 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 113977 "," 108929 "," 122571 "
1.01.06.01," Tributos Correntes a Recuperar "," 113977 "," 108929 "," 122571 "
1.01.07," Despesas Antecipadas "," 2873 "," 2708 "," 3714 "
1.01.08," Outros Ativos Circulantes "," 0 "," 0 "," 8510 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 0 "," 0 "," 8510 "
1.01.08.03.01," Instrumentos financeiros derivativos "," 0 "," 0 "," 8510 "
1.02," Ativo Não Circulante "," 855388 "," 992552 "," 1043185 "
1.02.01," Ativo Realizável a Longo Prazo "," 39517 "," 154439 "," 154138 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 7234 "," 8433 "," 9372 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 7234 "," 8433 "," 9372 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 210 "," 100723 "," 76886 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," 210 "," 100723 "," 76886 "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 32073 "," 45283 "," 67880 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos e contribuições sociais a compensar "," 32073 "," 45283 "," 67880 "
1.02.01.10.04," Instrumentos financeiros derivativos "," "," "," "
1.02.02," Investimentos "," 53320 "," 51849 "," 56006 "
1.02.02.01," Participações Societárias "," 3760 "," 3779 "," 3914 "
1.02.02.01.01," Participações em Coligadas "," 3536 "," 3555 "," 3658 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 224 "," 224 "," 256 "
1.02.02.02," Propriedades para Investimento "," 49560 "," 48070 "," 52092 "
1.02.03," Imobilizado "," 758963 "," 781092 "," 820972 "
1.02.03.01," Imobilizado em Operação "," 639113 "," 666714 "," 599827 "
1.02.03.02," Direito de Uso em Arrendamento "," 22643 "," 31988 "," 46950 "
1.02.03.03," Imobilizado em Andamento "," 97207 "," 82390 "," 174195 "
1.02.04," Intangível "," 3588 "," 5172 "," 12069 "
1.02.04.01," Intangíveis "," 3588 "," 5172 "," 12069 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 3588 "," 5172 "," 12069 "
1.02.04.02," Goodwill "," "," "," "
