Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 2225226 "," 2033989 "," 1883033 "
1.01," Ativo Circulante "," 485764 "," 400840 "," 365748 "
1.01.01," Caixa e Equivalentes de Caixa "," 2732 "," 4600 "," 6992 "
1.01.02," Aplicações Financeiras "," 255241 "," 145414 "," 151077 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 189061 "," 202773 "," 179473 "
1.01.03.01," Clientes "," 27733 "," 32229 "," 25088 "
1.01.03.02," Outras Contas a Receber "," 161328 "," 170544 "," 154385 "
1.01.04," Estoques "," 480 "," 2136 "," 4095 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 3850 "," 3353 "," 0 "
1.01.06.01," Tributos Correntes a Recuperar "," 3850 "," 3353 "," 0 "
1.01.07," Despesas Antecipadas "," 1239 "," 1056 "," 1269 "
1.01.08," Outros Ativos Circulantes "," 33161 "," 41508 "," 22842 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 33161 "," 41508 "," 22842 "
1.01.08.03.01," Transações com Partes Relacionadas "," "," "," "
1.01.08.03.02," Outros "," 33161 "," 41508 "," 22842 "
1.02," Ativo Não Circulante "," 1739462 "," 1633149 "," 1517285 "
1.02.01," Ativo Realizável a Longo Prazo "," 1363652 "," 1331098 "," 1281795 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 85744 "," 100249 "," 106542 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 85744 "," 100249 "," 106542 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 1277908 "," 1230849 "," 1175253 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Outros Ativos Não Circulantes "," 1277908 "," 1230849 "," 1175253 "
1.02.02," Investimentos "," 358141 "," 285757 "," 218735 "
1.02.02.01," Participações Societárias "," 358141 "," 285757 "," 218735 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 358141 "," 285757 "," 218735 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 7584 "," 7622 "," 7716 "
1.02.03.01," Imobilizado em Operação "," 7584 "," 7622 "," 7716 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 10085 "," 8672 "," 9039 "
1.02.04.01," Intangíveis "," 10085 "," 8672 "," 9039 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangível "," 10085 "," 8672 "," 9039 "
1.02.04.02," Goodwill "," "," "," "
