Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1521465 "," 2155276 "," 4284088 "
1.01," Ativo Circulante "," 503683 "," 530311 "," 996521 "
1.01.01," Caixa e Equivalentes de Caixa "," 34155 "," 56214 "," 467206 "
1.01.02," Aplicações Financeiras "," 11954 "," 11231 "," 10796 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.04," Certificado de Depósito Bancário "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 159355 "," 117825 "," 93727 "
1.01.03.01," Clientes "," 156901 "," 114701 "," 78243 "
1.01.03.01.01," Clientes Partes Relacionadas "," "," "," "
1.01.03.01.02," Clientes "," 156901 "," 114701 "," 78243 "
1.01.03.02," Outras Contas a Receber "," 2454 "," 3124 "," 15484 "
1.01.03.02.02," Outros Créditos a Receber "," 2454 "," 3124 "," 15484 "
1.01.04," Estoques "," 231503 "," 284305 "," 311687 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 63059 "," 58353 "," 63219 "
1.01.06.01," Tributos Correntes a Recuperar "," 63059 "," 58353 "," 63219 "
1.01.06.01.02," Impostos a Recuperar "," 63059 "," 58353 "," 63219 "
1.01.07," Despesas Antecipadas "," 3657 "," 2383 "," 49886 "
1.01.08," Outros Ativos Circulantes "," "," "," "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," "," "," "
1.02," Ativo Não Circulante "," 1017782 "," 1624965 "," 3287567 "
1.02.01," Ativo Realizável a Longo Prazo "," 282056 "," 305960 "," 932638 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 10267 "," 6634 "," 6221 "
1.02.01.04.01," Clientes "," 7739 "," 3546 "," 0 "
1.02.01.04.02," Depósito Judicial "," 2528 "," 3088 "," 4434 "
1.02.01.04.04," Depósito Garantia "," 0 "," 0 "," 1787 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 271789 "," 299326 "," 926417 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 153971 "," 120942 "," 744742 "
1.02.01.07.02," Imposto a Recuperar "," 117818 "," 178384 "," 181675 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," "," "," "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 269693 "," 311569 "," 401156 "
1.02.03.01," Imobilizado em Operação "," 269693 "," 311569 "," 401156 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 466033 "," 1007436 "," 1953773 "
1.02.04.01," Intangíveis "," 466033 "," 1007436 "," 1953773 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
