Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 10203942 "," 10918073 "," 12052008 "
1.01," Caixa e Equivalentes de Caixa "," 341015 "," 201142 "," 489400 "
1.01.01," Caixa "," 341015 "," 201142 "," 489400 "
1.01.02," Aplicações de Liquidez "," "," "," "
1.02," Ativos Financeiros "," 9637431 "," 10397782 "," 11304298 "
1.02.01," Depósito Compulsório Banco Central "," "," "," "
1.02.02," Ativos Financeiros Avaliados ao Valor Justo através do Resultado "," 142565 "," 264191 "," 14326 "
1.02.02.01," Títulos e Valores Mobiliários "," 0 "," 264191 "," 14289 "
1.02.02.02," Derivativos "," 142565 "," 0 "," 37 "
1.02.03," Ativos Financeiros Avaliados ao Valor Justo através de Outros Resultados Abrangentes "," 106026 "," 152735 "," 252213 "
1.02.03.01," Títulos e Valores Mobiliários "," 106026 "," 152735 "," 252213 "
1.02.04," Ativos Financeiros ao Custo Amortizado "," 9388840 "," 9980856 "," 11037759 "
1.02.04.01," Aplicações em Depósitos Interfinanceiros "," "," "," "
1.02.04.02," Aplicações no Mercado Aberto "," "," "," "
1.02.04.03," Títulos e Valores Mobiliários "," "," "," "
1.02.04.04," Operações de Crédito "," "," "," "
1.02.04.05," Provisão para Perdas Esperadas Associadas ao Risco de Crédito "," "," "," "
1.02.04.06," Operações de Arrendamento "," "," "," "
1.02.04.07," Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento "," "," "," "
1.02.04.08," Outros Ativos Financeiros "," 9388840 "," 9980856 "," 11037759 "
1.03," Tributos "," 212224 "," 307151 "," 246854 "
1.03.01," Imposto de Renda e Contribuição Social - Correntes "," 3189 "," 3195 "," 16006 "
1.03.02," Imposto de Renda e Contribuição Social - Diferidos "," 209035 "," 303956 "," 230848 "
1.03.03," Outros "," "," "," "
1.04," Outros Ativos "," 8461 "," 7965 "," 7709 "
1.04.01," Ativos Não Correntes a Venda "," 290 "," 699 "," 1108 "
1.04.02," Ativos de Operações Descontinuadas "," "," "," "
1.04.03," Outros "," 8171 "," 7266 "," 6601 "
1.05," Investimentos "," "," "," "
1.05.01," Participações em Coligadas "," "," "," "
1.05.02," Participações em Controladas em Conjunto "," "," "," "
1.05.03," Propriedades para Investimento "," "," "," "
1.05.04," Outros Investimentos "," "," "," "
1.06," Imobilizado "," 690 "," 3779 "," 3168 "
1.06.01," Imobilizado de Uso "," 8196 "," 7929 "," 6073 "
1.06.02," Direito de Uso de Arrendamento "," "," "," "
1.06.03," Depreciação Acumulada "," -7506 "," -4150 "," -2905 "
1.07," Intangível "," 4121 "," 254 "," 579 "
1.07.01," Intangíveis "," 9889 "," 5834 "," 5827 "
1.07.02," Goodwill "," "," "," "
1.07.03," Amortização Acumulada "," -5768 "," -5580 "," -5248 "
