Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1852857 "," 1893275 "," 1893318 "
1.01," Ativo Circulante "," 237838 "," 279177 "," 260716 "
1.01.01," Caixa e Equivalentes de Caixa "," 108055 "," 121401 "," 102202 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 66411 "," 57156 "," 57549 "
1.01.03.01," Clientes "," 61058 "," 52166 "," 54533 "
1.01.03.02," Outras Contas a Receber "," 5353 "," 4990 "," 3016 "
1.01.04," Estoques "," 21004 "," 29245 "," 24307 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 15530 "," 41911 "," 44444 "
1.01.06.01," Tributos Correntes a Recuperar "," 15530 "," 41911 "," 44444 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 26838 "," 29464 "," 32214 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 26838 "," 29464 "," 32214 "
1.01.08.03.01," Arrendamento mercantil "," 19228 "," 18228 "," 17487 "
1.01.08.03.02," Adiantamentos a fornecedores "," 427 "," 4815 "," 4903 "
1.01.08.03.03," Outros créditos "," 7183 "," 6421 "," 9824 "
1.02," Ativo Não Circulante "," 1615019 "," 1614098 "," 1632602 "
1.02.01," Ativo Realizável a Longo Prazo "," 766942 "," 757273 "," 798120 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 0 "," 0 "," 19816 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 0 "," 0 "," 19816 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 449279 "," 449279 "," 449279 "
1.02.01.09.01," Créditos com Coligadas "," 43546 "," 43546 "," 43546 "
1.02.01.09.03," Créditos com Controladores "," 300348 "," 300348 "," 300348 "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 105385 "," 105385 "," 105385 "
1.02.01.10," Outros Ativos Não Circulantes "," 317663 "," 307994 "," 329025 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," 0 "," 0 "," 2432 "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depositos judiciais "," 209 "," 235 "," 220 "
1.02.01.10.04," Adiantamentos a fornecedores "," "," "," "
1.02.01.10.05," Tributos a recuperar "," 113083 "," 82417 "," 90267 "
1.02.01.10.06," Arrendamento mercantil "," 85768 "," 104996 "," 130370 "
1.02.01.10.07," Depósitos vinculados "," 115845 "," 107467 "," 105067 "
1.02.01.10.08," Outros créditos "," 2758 "," 12879 "," 669 "
1.02.02," Investimentos "," 3375 "," 4328 "," 4328 "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 3375 "," 4328 "," 4328 "
1.02.03," Imobilizado "," 755208 "," 753063 "," 720684 "
1.02.03.01," Imobilizado em Operação "," 738272 "," 736588 "," 704504 "
1.02.03.02," Direito de Uso em Arrendamento "," 16936 "," 16475 "," 16180 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 89494 "," 99434 "," 109470 "
1.02.04.01," Intangíveis "," 89494 "," 99434 "," 109470 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangível "," 89494 "," 99434 "," 109470 "
1.02.04.02," Goodwill "," "," "," "
