Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 7836089 "," 6825826 "," 5645450 "
1.01," Ativo Circulante "," 2023093 "," 1915680 "," 1298381 "
1.01.01," Caixa e Equivalentes de Caixa "," 1293915 "," 1066548 "," 392186 "
1.01.02," Aplicações Financeiras "," 0 "," 163831 "," 129330 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 163831 "," 129330 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 0 "," 163831 "," 129330 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 394102 "," 335896 "," 180277 "
1.01.03.01," Clientes "," 394102 "," 335896 "," 180277 "
1.01.03.01.01," Contas a receber de cliente "," 394102 "," 335896 "," 180277 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 180448 "," 298703 "," 338324 "
1.01.04.01," Veículos em desativação para renovação de frota "," 180448 "," 298703 "," 338324 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 102009 "," 29535 "," 35361 "
1.01.06.01," Tributos Correntes a Recuperar "," 102009 "," 29535 "," 35361 "
1.01.06.01.01," Impostos a Recuperar "," 102009 "," 29535 "," 35361 "
1.01.07," Despesas Antecipadas "," 6688 "," 10843 "," 4633 "
1.01.08," Outros Ativos Circulantes "," 45931 "," 10324 "," 218270 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 45931 "," 10324 "," 218270 "
1.01.08.03.01," Créditos com empresas ligadas "," 10256 "," 4592 "," 195986 "
1.01.08.03.02," Outros Créditos "," 27545 "," 5732 "," 8610 "
1.01.08.03.04," Instrumentos Financeiros - Derivativos "," 8130 "," 0 "," 13674 "
1.02," Ativo Não Circulante "," 5812996 "," 4910146 "," 4347069 "
1.02.01," Ativo Realizável a Longo Prazo "," 197379 "," 408091 "," 37522 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 741 "," 4132 "," 3956 "
1.02.01.04.01," Contas a Receber de Clientes "," 741 "," 4132 "," 3956 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," 1933 "," 2869 "," 67 "
1.02.01.09," Créditos com Partes Relacionadas "," 37813 "," 212599 "," 0 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.04," Partes Relacionadas "," 37813 "," 212599 "," 0 "
1.02.01.10," Outros Ativos Não Circulantes "," 156892 "," 188491 "," 33499 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 48670 "," 42562 "," 33499 "
1.02.01.10.07," Instrumentos Financeiros Derivativos "," 108222 "," 145929 "," 0 "
1.02.02," Investimentos "," 0 "," 850 "," 56898 "
1.02.02.01," Participações Societárias "," 0 "," 0 "," 56048 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 0 "," 850 "," 850 "
1.02.03," Imobilizado "," 5497297 "," 4395203 "," 4167130 "
1.02.03.01," Imobilizado em Operação "," 5333321 "," 4278302 "," 4099628 "
1.02.03.02," Direito de Uso em Arrendamento "," 163976 "," 116901 "," 67502 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 118320 "," 106002 "," 85519 "
1.02.04.01," Intangíveis "," 118320 "," 106002 "," 85519 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangível "," 118320 "," 106002 "," 85519 "
