Conta," Descrição "," 31/03/2022 "," 31/03/2021 "
1," Ativo Total "," 4738562 "," 3288482 "
1.01," Ativo Circulante "," 1535175 "," 965604 "
1.01.01," Caixa e Equivalentes de Caixa "," 891989 "," 512176 "
1.01.02," Aplicações Financeiras "," 6481 "," 5168 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 6481 "," 5168 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 138021 "," 154695 "
1.01.03.01," Clientes "," 138021 "," 154695 "
1.01.03.01.01," Contas a receber de clientes e outros recebíveis "," 53591 "," 66550 "
1.01.03.01.02," Arrendamentos a receber "," 84430 "," 88145 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 91878 "," 51309 "
1.01.05," Ativos Biológicos "," 300813 "," 188988 "
1.01.06," Tributos a Recuperar "," 38588 "," 34093 "
1.01.06.01," Tributos Correntes a Recuperar "," 38588 "," 34093 "
1.01.06.01.01," Impostos e contribuições a recuperar "," 38588 "," 34093 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 67405 "," 19175 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 67405 "," 19175 "
1.01.08.03.01," Adiantamento a fornecedores e outros ativos "," 14443 "," 18128 "
1.01.08.03.02," Instrumentos financeiros derivativos "," 52962 "," 1047 "
1.02," Ativo Não Circulante "," 3203387 "," 2322878 "
1.02.01," Ativo Realizável a Longo Prazo "," 878982 "," 615011 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 2325 "," 8897 "
1.02.01.04," Contas a Receber "," 43285 "," 59251 "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.04.03," Contas a receber de clientes e outros recebíveis "," 43285 "," 59251 "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 216911 "," 217347 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 216911 "," 217347 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 616461 "," 329516 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Impostos e contribuições a recuperar "," 26570 "," 29360 "
1.02.01.10.04," Instrumentos Financeiros Derivativos "," 176247 "," 68535 "
1.02.01.10.05," Depósitos judiciais "," 1060 "," 1696 "
1.02.01.10.06," Adiantamento a fornecedores e outros ativos "," 0 "," 1283 "
1.02.01.10.07," Arrendamentos a receber "," 412584 "," 228642 "
1.02.02," Investimentos "," 9514 "," 4927 "
1.02.02.01," Participações Societárias "," 9514 "," 4927 "
1.02.02.01.01," Participações em Coligadas "," 9514 "," 4927 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 2308507 "," 1694211 "
1.02.03.01," Imobilizado em Operação "," 1283474 "," 1186843 "
1.02.03.02," Direito de Uso em Arrendamento "," 1025033 "," 507368 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 6384 "," 8729 "
1.02.04.01," Intangíveis "," 6384 "," 8729 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.02," Goodwill "," "," "
