Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1449952 "," 1475392 "," 1375895 "
1.01," Ativo Circulante "," 478250 "," 551222 "," 306004 "
1.01.01," Caixa e Equivalentes de Caixa "," 202719 "," 378905 "," 124910 "
1.01.02," Aplicações Financeiras "," 11911 "," 0 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 11911 "," 0 "," 0 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.04," Depósitos bancários vinculados "," 11911 "," 0 "," 0 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 155232 "," 100376 "," 116803 "
1.01.03.01," Clientes "," 155232 "," 100376 "," 116803 "
1.01.03.01.01," Contas a receber de terceiros "," 155232 "," 100376 "," 116803 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 74088 "," 40714 "," 36337 "
1.01.04.01," Estoques "," 74088 "," 40714 "," 36337 "
1.01.04.02," Estoques - Outros ativos mantidos para venda "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 14839 "," 11221 "," 14010 "
1.01.06.01," Tributos Correntes a Recuperar "," 14839 "," 11221 "," 14010 "
1.01.06.01.01," IRPJ e CSLL a recuperar "," 8504 "," 5815 "," 7367 "
1.01.06.01.02," Outros tributos a recuperar "," 6335 "," 5406 "," 6643 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 19461 "," 20006 "," 13944 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 19461 "," 20006 "," 13944 "
1.01.08.03.01," Adiantamento a fornecedores "," 6002 "," 4787 "," 3670 "
1.01.08.03.02," Outros ativos "," 7266 "," 4947 "," 6050 "
1.01.08.03.04," Ativos mantidos para venda "," 6193 "," 10272 "," 4224 "
1.02," Ativo Não Circulante "," 971702 "," 924170 "," 1069891 "
1.02.01," Ativo Realizável a Longo Prazo "," 320972 "," 323449 "," 321974 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 310876 "," 314618 "," 309429 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 310876 "," 314618 "," 309429 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 10096 "," 8831 "," 12545 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," 9891 "," 7672 "," 12463 "
1.02.01.10.04," Outros ativos "," 135 "," 2 "," 82 "
1.02.01.10.05," Tributos a recuperar "," 70 "," 349 "," 0 "
1.02.01.10.06," Intrumentos financeiros derivativos "," 0 "," 808 "," 0 "
1.02.02," Investimentos "," 34013 "," 39341 "," 50579 "
1.02.02.01," Participações Societárias "," 34013 "," 39341 "," 50579 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," 34013 "," 39341 "," 50579 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 442440 "," 439883 "," 576575 "
1.02.03.01," Imobilizado em Operação "," "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 174277 "," 121497 "," 120763 "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
