Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3070725 "," 3109469 "," 2477946 "
1.01," Ativo Circulante "," 289816 "," 411029 "," 51472 "
1.01.01," Caixa e Equivalentes de Caixa "," 231268 "," 375706 "," 21787 "
1.01.02," Aplicações Financeiras "," 8658 "," 0 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 8658 "," 0 "," 0 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações financeiras vinculadas "," 8658 "," 0 "," 0 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 29677 "," 27193 "," 22998 "
1.01.03.01," Clientes "," 29677 "," 27193 "," 22998 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 5318 "," 2004 "," 2104 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 4748 "," 1152 "," 1899 "
1.01.06.01," Tributos Correntes a Recuperar "," 4748 "," 1152 "," 1899 "
1.01.07," Despesas Antecipadas "," 10147 "," 4859 "," 2164 "
1.01.08," Outros Ativos Circulantes "," 0 "," 115 "," 520 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 0 "," 115 "," 520 "
1.02," Ativo Não Circulante "," 2780909 "," 2698440 "," 2426474 "
1.02.01," Ativo Realizável a Longo Prazo "," 417817 "," 388800 "," 96771 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 17049 "," 19637 "," 19047 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Depósitos judiciais "," 17049 "," 19637 "," 19047 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 400759 "," 369154 "," 77715 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 400759 "," 369154 "," 77715 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 9 "," 9 "," 9 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," 9 "," 9 "," 9 "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 36241 "," 6170 "," 3806 "
1.02.03.01," Imobilizado em Operação "," 36241 "," 6170 "," 3806 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 2326851 "," 2303470 "," 2325897 "
1.02.04.01," Intangíveis "," 2326851 "," 2303470 "," 2325897 "
1.02.04.01.01," Contrato de Concessão "," 2248802 "," 2136475 "," 2194466 "
1.02.04.01.02," Infraestrutura em andamento "," 78049 "," 166995 "," 131431 "
