Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3366326 "," 2832545 "," 1413249 "
1.01," Ativo Circulante "," 1646786 "," 1564868 "," 980665 "
1.01.01," Caixa e Equivalentes de Caixa "," 33750 "," 38297 "," 13808 "
1.01.02," Aplicações Financeiras "," 228809 "," 522868 "," 263875 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 228809 "," 522868 "," 263875 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações Financeiras Avaliadas a Valor Justo "," 228809 "," 522868 "," 263875 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 790302 "," 598824 "," 413412 "
1.01.03.01," Clientes "," 790302 "," 598824 "," 413412 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 450487 "," 290896 "," 179499 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 73852 "," 86034 "," 90332 "
1.01.06.01," Tributos Correntes a Recuperar "," 73852 "," 86034 "," 90332 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 69586 "," 27949 "," 19739 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 69586 "," 27949 "," 19739 "
1.01.08.03.01," Outros Créditos "," 68230 "," 27949 "," 19739 "
1.01.08.03.02," Instrumentos Financeiros - Derivativos "," 1356 "," 0 "," 0 "
1.02," Ativo Não Circulante "," 1719540 "," 1267677 "," 432584 "
1.02.01," Ativo Realizável a Longo Prazo "," 297892 "," 118494 "," 50438 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 4276 "," 2564 "," 10402 "
1.02.01.04.01," Clientes "," 4276 "," 2564 "," 10402 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 90225 "," 80632 "," 15682 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 90225 "," 80632 "," 15682 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 0 "," 1000 "," 0 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.09.05," Créditos com Controladas "," 0 "," 1000 "," 0 "
1.02.01.10," Outros Ativos Não Circulantes "," 203391 "," 34298 "," 24354 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 54390 "," 30970 "," 21863 "
1.02.01.10.04," Outros Créditos "," 14939 "," 3328 "," 2491 "
1.02.01.10.05," Impostos a recuperar "," 127635 "," 0 "," 0 "
1.02.01.10.06," Instrumentos Financeiros - Derivativos "," 6427 "," 0 "," 0 "
1.02.02," Investimentos "," 2862 "," 3016 "," 3017 "
1.02.02.01," Participações Societárias "," 402 "," 900 "," 0 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," 402 "," 900 "," 0 "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 2460 "," 2116 "," 3017 "
1.02.02.02.01," Propriedades para Investimento "," 2460 "," 2116 "," 3017 "
1.02.03," Imobilizado "," 403868 "," 316300 "," 304082 "
1.02.03.01," Imobilizado em Operação "," 403868 "," 316300 "," 304082 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 1014918 "," 829867 "," 75047 "
1.02.04.01," Intangíveis "," 1014918 "," 829867 "," 75047 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Marcas e Patentes "," 11123 "," 7810 "," 6494 "
1.02.04.01.03," Direito de Uso de Lojas "," 46728 "," 33829 "," 28167 "
1.02.04.01.04," Direito de uso de Sistemas "," 94708 "," 55673 "," 40386 "
1.02.04.01.05," Intangível - Mais Valia "," 301463 "," 266427 "," 0 "
1.02.04.01.06," Ágio "," 560896 "," 466128 "," 0 "
1.02.04.02," Goodwill "," "," "," "
