Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 11114713 "," 10887575 "," 10906547 "
1.01," Ativo Circulante "," 1775374 "," 1850926 "," 1543252 "
1.01.01," Caixa e Equivalentes de Caixa "," 14862 "," 13113 "," 32682 "
1.01.02," Aplicações Financeiras "," 1231460 "," 1371587 "," 1167366 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1231460 "," 1371587 "," 1167366 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações Financeiras de curto prazo "," 1231460 "," 1371587 "," 1167366 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 400545 "," 327539 "," 168992 "
1.01.03.01," Clientes "," 400545 "," 327525 "," 164871 "
1.01.03.02," Outras Contas a Receber "," 0 "," 14 "," 4121 "
1.01.03.02.01," Dividendos e juros sobre capital próprio a receber "," 0 "," 14 "," 4121 "
1.01.03.02.02," Valores a receber IPTU "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 52969 "," 56120 "," 50378 "
1.01.06.01," Tributos Correntes a Recuperar "," 52969 "," 56120 "," 50378 "
1.01.07," Despesas Antecipadas "," 1109 "," 2529 "," 4425 "
1.01.08," Outros Ativos Circulantes "," 74429 "," 80038 "," 119409 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 74429 "," 80038 "," 119409 "
1.01.08.03.01," Ativo não circulante mantido para venda "," 38565 "," 38565 "," 88642 "
1.01.08.03.02," Outros "," 35864 "," 41473 "," 30767 "
1.01.08.03.03," Valores a receber "," "," "," "
1.02," Ativo Não Circulante "," 9339339 "," 9036649 "," 9363295 "
1.02.01," Ativo Realizável a Longo Prazo "," 227696 "," 159976 "," 191320 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 95447 "," 0 "," 0 "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 54723 "," 66177 "," 89861 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 54723 "," 66177 "," 89861 "
1.02.01.08," Despesas Antecipadas "," 3544 "," 6888 "," 10042 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 73982 "," 86911 "," 91417 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Valores a Receber "," "," "," "
1.02.01.10.04," Outros "," 25863 "," 25562 "," 24413 "
1.02.01.10.05," Instrumentos financeiros derivativos "," 4736 "," 10543 "," 9036 "
1.02.01.10.06," Depósitos Judiciais "," 33567 "," 31925 "," 32084 "
1.02.01.10.07," Empréstimos, mútuos e outros contas a receber "," 7889 "," 8046 "," 9166 "
1.02.01.10.08," Impostos a recuperar "," 1927 "," 10835 "," 16718 "
1.02.02," Investimentos "," 8741747 "," 8526585 "," 8851493 "
1.02.02.01," Participações Societárias "," 420541 "," 463195 "," 545109 "
1.02.02.01.01," Participações em Coligadas "," 420541 "," 463195 "," 545109 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 8321206 "," 8063390 "," 8306384 "
1.02.02.02.01," Propriedades para investimentos - Shopping "," 8321206 "," 8063390 "," 8306384 "
1.02.03," Imobilizado "," 24495 "," 26540 "," 10381 "
1.02.03.01," Imobilizado em Operação "," 24495 "," 26540 "," 10381 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 345401 "," 323548 "," 310101 "
1.02.04.01," Intangíveis "," 137904 "," 97753 "," 84030 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 137904 "," 97753 "," 84030 "
1.02.04.02," Goodwill "," 207497 "," 225795 "," 226071 "
