Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 6688919 "," 4347640 "," 4500837 "
1.01," Ativo Circulante "," 3991668 "," 1891856 "," 2075885 "
1.01.01," Caixa e Equivalentes de Caixa "," 830416 "," 103248 "," 51278 "
1.01.02," Aplicações Financeiras "," 2215575 "," 1609277 "," 1653023 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 2215575 "," 1609277 "," 1653023 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 870418 "," 87719 "," 233643 "
1.01.03.01," Clientes "," 306787 "," 87719 "," 233643 "
1.01.03.02," Outras Contas a Receber "," 563631 "," 0 "," 0 "
1.01.04," Estoques "," 12928 "," 959 "," 9513 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," "," "," "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 62331 "," 90653 "," 128428 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 62331 "," 90653 "," 128428 "
1.01.08.03.01," Partes relacionadas "," 197 "," 171 "," 25166 "
1.01.08.03.02," créditos com parceiros "," 5382 "," 46761 "," 57643 "
1.01.08.03.03," Instrumentos financeiros "," 9769 "," 1469 "," 4338 "
1.01.08.03.04," Outros "," 25832 "," 25975 "," 18276 "
1.01.08.03.05," Impostos a recuperar "," 21151 "," 16277 "," 23005 "
1.02," Ativo Não Circulante "," 2697251 "," 2455784 "," 2424952 "
1.02.01," Ativo Realizável a Longo Prazo "," 477658 "," 711838 "," 480794 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 366655 "," 581748 "," 432125 "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 0 "," 66478 "," 43549 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 0 "," 66478 "," 43549 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 111003 "," 63612 "," 5120 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos a recuperar "," 69620 "," 60430 "," 4305 "
1.02.01.10.04," Outros "," 41383 "," 3182 "," 815 "
1.02.02," Investimentos "," 0 "," 27138 "," 177289 "
1.02.02.01," Participações Societárias "," 0 "," 27138 "," 177289 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," 0 "," 27138 "," 177289 "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1439457 "," 1327329 "," 1367278 "
1.02.03.01," Imobilizado em Operação "," 924569 "," 929105 "," 697749 "
1.02.03.02," Direito de Uso em Arrendamento "," 514888 "," 398224 "," 669529 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 780136 "," 389479 "," 399591 "
1.02.04.01," Intangíveis "," 780136 "," 389479 "," 399591 "
1.02.04.01.01," Contrato de Concessão "," 776357 "," 388662 "," 399030 "
1.02.04.01.02," Software "," 3779 "," 817 "," 561 "
1.02.04.02," Goodwill "," "," "," "
