Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 541294 "," 529249 "," 623274 "
1.01," Ativo Circulante "," 332121 "," 256581 "," 355514 "
1.01.01," Caixa e Equivalentes de Caixa "," 223975 "," 201914 "," 204649 "
1.01.01.01," Caixa restrito "," 6565 "," 0 "," 0 "
1.01.01.02," Caixa e equivalentes de caixa "," 217410 "," 201914 "," 204649 "
1.01.02," Aplicações Financeiras "," 1270 "," 0 "," 5001 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1270 "," 0 "," 0 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 0 "," 0 "," 5001 "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 81746 "," 53801 "," 108027 "
1.01.03.01," Clientes "," 48919 "," 10768 "," 76909 "
1.01.03.02," Outras Contas a Receber "," 32827 "," 43033 "," 31118 "
1.01.03.02.01," Impostos a recuperar "," 23773 "," 25518 "," 19228 "
1.01.03.02.02," Adiantamento a fornecedores "," 4018 "," 4772 "," 6599 "
1.01.03.02.04," Outras contas a receber "," 5036 "," 12743 "," 5291 "
1.01.04," Estoques "," 727 "," 866 "," 1223 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," "," "," "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," 24403 "," 0 "," 36614 "
1.01.07.01," Custos Antecipados "," 24403 "," 0 "," 36614 "
1.01.08," Outros Ativos Circulantes "," "," "," "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," "," "," "
1.01.08.03.01," Instrumentos Financeiros Derivativos "," "," "," "
1.02," Ativo Não Circulante "," 209173 "," 272668 "," 267760 "
1.02.01," Ativo Realizável a Longo Prazo "," 84793 "," 142629 "," 92789 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 3811 "," 0 "," 0 "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.02.02," Títulos Disponíveis para Venda "," "," "," "
1.02.01.02.03," Depósitos judiciais "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 7192 "," 23614 "," 0 "
1.02.01.04.01," Clientes "," 0 "," 23614 "," 0 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.04.03," Impostos a recuperar "," 7192 "," 0 "," 0 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 51477 "," 48942 "," 62529 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 51477 "," 48942 "," 62529 "
1.02.01.08," Despesas Antecipadas "," 4758 "," 54472 "," 11572 "
1.02.01.09," Créditos com Partes Relacionadas "," 8250 "," 7469 "," 8509 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 8250 "," 7469 "," 8509 "
1.02.01.10," Outros Ativos Não Circulantes "," 9305 "," 8132 "," 10179 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," 9305 "," 8132 "," 10179 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 14847 "," 26805 "," 47823 "
1.02.03.01," Imobilizado em Operação "," 7198 "," 9630 "," 14070 "
1.02.03.02," Direito de Uso em Arrendamento "," 7649 "," 17175 "," 33753 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 109533 "," 103234 "," 127148 "
1.02.04.01," Intangíveis "," 109533 "," 103234 "," 127148 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Ágio na aquisição de investimentos "," 104244 "," 99519 "," 123767 "
1.02.04.01.03," Outros intangíveis "," 5289 "," 3715 "," 3381 "
1.02.04.02," Goodwill "," "," "," "
