Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1285009 "," 1239140 "," 1170318 "
1.01," Ativo Circulante "," 43877 "," 40326 "," 90875 "
1.01.01," Caixa e Equivalentes de Caixa "," 1410 "," 14848 "," 1581 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 20326 "," 5838 "," 7608 "
1.01.03.01," Clientes "," 20326 "," 5838 "," 6515 "
1.01.03.02," Outras Contas a Receber "," 0 "," 0 "," 1093 "
1.01.03.02.01," Partes relacionadas "," 0 "," 0 "," 1093 "
1.01.04," Estoques "," 368 "," 287 "," 428 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 4565 "," 2365 "," 9402 "
1.01.06.01," Tributos Correntes a Recuperar "," 4565 "," 2365 "," 9402 "
1.01.06.01.01," Imposto de renda e contribuição social a recuperar "," 3529 "," 1492 "," 3483 "
1.01.06.01.02," Outros impostos a recuparar "," 1036 "," 873 "," 5919 "
1.01.07," Despesas Antecipadas "," 4467 "," 2880 "," 921 "
1.01.07.01," Adiantamentos a fornecedores "," 3481 "," 2024 "," 226 "
1.01.07.02," Outras despesas antecipadas "," 986 "," 856 "," 695 "
1.01.08," Outros Ativos Circulantes "," 12741 "," 14108 "," 70935 "
1.01.08.01," Ativos Não-Correntes a Venda "," 9726 "," 10551 "," 69278 "
1.01.08.01.01," AFRM para liberação "," 9726 "," 8075 "," 0 "
1.01.08.01.02," Deposito de AFRM em conta vinculada "," 0 "," 2476 "," 69278 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 3015 "," 3557 "," 1657 "
1.01.08.03.01," Direitos na transação negocial "," "," "," "
1.01.08.03.02," Antecipação de recebivéis "," "," "," "
1.01.08.03.03," Outros créditos "," 3015 "," 3557 "," 1657 "
1.02," Ativo Não Circulante "," 1241132 "," 1198814 "," 1079443 "
1.02.01," Ativo Realizável a Longo Prazo "," 106478 "," 83121 "," 77446 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 5704 "," 5589 "," 12702 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.04.03," Bloqueios judiciais "," 103 "," 2 "," 296 "
1.02.01.04.04," AFRMM para liberação "," 0 "," 0 "," 9126 "
1.02.01.04.05," Outros impostos a recuperar "," 5512 "," 4967 "," 0 "
1.02.01.04.06," Depositos judiciais "," 89 "," 620 "," 3280 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 170 "," 0 "," 0 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 99671 "," 74542 "," 53529 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Partes Relacionadas "," 99671 "," 74542 "," 53529 "
1.02.01.10," Outros Ativos Não Circulantes "," 933 "," 2990 "," 11215 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Direitos na transação negocial "," 933 "," 2990 "," 11215 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 324348 "," 309363 "," 197706 "
1.02.03.01," Imobilizado em Operação "," 298837 "," 309363 "," 197706 "
1.02.03.02," Direito de Uso em Arrendamento "," 25511 "," 0 "," 0 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 810306 "," 806330 "," 804291 "
1.02.04.01," Intangíveis "," 810306 "," 806330 "," 804291 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangivel "," 810306 "," 806330 "," 804291 "
1.02.04.02," Goodwill "," "," "," "
