Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 6573254 "," 5753778 "," 4807686 "
1.01," Ativo Circulante "," 3512500 "," 3147390 "," 2197867 "
1.01.01," Caixa e Equivalentes de Caixa "," 654121 "," 589086 "," 121040 "
1.01.02," Aplicações Financeiras "," 0 "," 30880 "," 3500 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 0 "," 30880 "," 3500 "
1.01.03," Contas a Receber "," 669015 "," 621223 "," 391941 "
1.01.03.01," Clientes "," 530268 "," 522940 "," 288453 "
1.01.03.01.01," Contas a Receber de Clientes - Cartões de Créditos "," 508492 "," 511516 "," 276703 "
1.01.03.01.02," Convenios a Receber "," 26476 "," 9731 "," 15400 "
1.01.03.01.03," Comissoes a Receber "," 86 "," 220 "," 469 "
1.01.03.01.04," Programa de Beneficios de Medicamentos - PBM "," 0 "," 6249 "," 4276 "
1.01.03.01.05," Provisão para Créditos de Liquidação Duvidosa "," -764 "," -993 "," -5604 "
1.01.03.01.06," Ajuste a Valor Presente "," -4022 "," -3783 "," -2791 "
1.01.03.02," Outras Contas a Receber "," 138747 "," 98283 "," 103488 "
1.01.03.02.01," Acordos Comerciais "," 100970 "," 66346 "," 79293 "
1.01.03.02.02," Despesas antecipadas "," 5965 "," 8202 "," 4384 "
1.01.03.02.03," Outras "," 31812 "," 23735 "," 19811 "
1.01.04," Estoques "," 1956957 "," 1702095 "," 1466371 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 232407 "," 198318 "," 204153 "
1.01.06.01," Tributos Correntes a Recuperar "," 232407 "," 198318 "," 204153 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 0 "," 5788 "," 10862 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 0 "," 5788 "," 10862 "
1.01.08.03.01," Operações com Derivativos "," 0 "," 5788 "," 10862 "
1.02," Ativo Não Circulante "," 3060754 "," 2606388 "," 2609819 "
1.02.01," Ativo Realizável a Longo Prazo "," 648692 "," 611527 "," 471546 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 8639 "," 9517 "," 6769 "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 204018 "," 192555 "," 165162 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 204018 "," 192555 "," 165162 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 436035 "," 409455 "," 299615 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos e Contribuições a Recuperar "," 414418 "," 370810 "," 273194 "
1.02.01.10.04," Depósitos Judiciais "," 21617 "," 38645 "," 25328 "
1.02.01.10.05," Outros créditos "," "," "," "
1.02.01.10.06," Operações com derivativos "," 0 "," 0 "," 1093 "
1.02.02," Investimentos "," 72596 "," 70797 "," 70290 "
1.02.02.01," Participações Societárias "," 72596 "," 70797 "," 70290 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," 72596 "," 70797 "," 70290 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 665611 "," 541289 "," 582154 "
1.02.03.01," Imobilizado em Operação "," 665611 "," 541289 "," 582154 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 1673855 "," 1382775 "," 1485829 "
1.02.04.01," Intangíveis "," 1673855 "," 1382775 "," 1485829 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Direito de Uso em Arrendamento "," 1615645 "," 1344910 "," 1450682 "
1.02.04.01.03," Intangíveis "," 58210 "," 37865 "," 35147 "
