Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 318201799 "," 253266798 "," 176078357 "
1.01," Ativo Circulante "," 214016436 "," 156126431 "," 132373813 "
1.01.01," Disponibilidades "," 1602316 "," 933799 "," 640049 "
1.01.02," Aplicações Interfinanceiras de Liquidez "," 54244377 "," 50210427 "," 30038863 "
1.01.02.01," Aplicações no mercado aberto "," 50725099 "," 48613135 "," 28741800 "
1.01.02.02," Aplicações em depósitos interfinanceiros "," 3519278 "," 1597292 "," 1297063 "
1.01.03," Títulos e Valores Mobiliários "," 90779191 "," 53307212 "," 48451032 "
1.01.03.01," Carteira própria "," 55991836 "," 17433396 "," 34258269 "
1.01.03.02," Vinculados a compromissos de recompra "," 22935302 "," 28782927 "," 7786179 "
1.01.03.03," Instrumentos financeiros derivativos "," 4329033 "," 5404639 "," 4124449 "
1.01.03.04," Vinculados à prestação de garantias "," 6558027 "," 1655081 "," 1839754 "
1.01.03.05," Títulos objeto de operações compromissadas de livre movimentação "," 964993 "," 31169 "," 442381 "
1.01.03.06," Vinculados ao Banco Central "," "," "," "
1.01.04," Relações Interfinanceiras "," 9753880 "," 5033708 "," 1004946 "
1.01.04.01," Créditos vinculados - Depósitos no Banco Central "," 9753880 "," 5033708 "," 1004946 "
1.01.04.02," Correspondentes "," "," "," "
1.01.05," Relações Interdependências "," "," "," "
1.01.06," Operações de Crédito "," 30059158 "," 19724653 "," 9960917 "
1.01.06.01," Operações de crédito - setor privado "," 30322180 "," 20167006 "," 10113431 "
1.01.06.02," Provisão para perdas em operações de crédito "," -263022 "," -442353 "," -152514 "
1.01.06.03," Operações de crédito cedidas "," "," "," "
1.01.07," Operações de Arrendamento Mercantil "," "," "," "
1.01.08," Outros Créditos "," 27164850 "," 26256807 "," 42144118 "
1.01.08.01," Carteira de câmbio "," 21109913 "," 18985456 "," 37791139 "
1.01.08.02," Rendas a receber "," 927089 "," 1683791 "," 783755 "
1.01.08.03," Negociação e intermediação de valores "," 4347646 "," 3706151 "," 2870372 "
1.01.08.04," Diversos "," 898329 "," 1833668 "," 638980 "
1.01.08.05," Provisão para perdas em outros créditos "," -264450 "," -176937 "," -192413 "
1.01.08.06," Créditos por avais ou Fianças "," 146323 "," 224678 "," 252285 "
1.01.09," Outros Valores e Bens "," 412664 "," 659825 "," 133888 "
1.01.09.01," Outros valores e bens "," 19889 "," 541860 "," 94195 "
1.01.09.02," Investimentos temporários "," "," "," "
1.01.09.03," Despesas antecipadas "," 392775 "," 126914 "," 101384 "
1.01.09.04," Provisão para desvalorização "," 0 "," -8949 "," -61691 "
1.02," Ativo Realizável a Longo Prazo "," 80830775 "," 78267754 "," 29359970 "
1.02.01," Aplicações Interfinanceiras de Liquidez "," 6821763 "," 2163992 "," 658125 "
1.02.01.01," Aplicações no mercado aberto "," 1544462 "," 2163992 "," 658125 "
1.02.01.02," Aplicações em depósitos interfinanceiros "," 5277301 "," 0 "," 0 "
1.02.02," Títulos e Valores Mobiliários "," 34761956 "," 40943410 "," 8912301 "
1.02.02.01," Instrumentos financeiros derivativos "," 29973688 "," 13761647 "," 8100922 "
1.02.02.02," Carteira Própria "," 2376857 "," 10635212 "," 444898 "
1.02.02.03," Vinculados a compromissos de recompra "," 1155595 "," 6637781 "," 35767 "
1.02.02.04," Vinculados à prestação de garantias "," 1255816 "," 9908770 "," 330714 "
1.02.03," Relações Interfinanceiras "," 131470 "," 131742 "," 131470 "
1.02.03.01," SFH - Sistema Financeiro da Habitação "," 131470 "," 131742 "," 131470 "
1.02.04," Relações Interdependências "," "," "," "
1.02.05," Operações de Crédito "," 25435569 "," 21286622 "," 13594866 "
1.02.05.01," Operações de crédito - setor privado "," 26195265 "," 22496827 "," 14516805 "
1.02.05.02," Provisão para perdas em operação de crédito "," -759696 "," -1210205 "," -923549 "
1.02.05.03," Operações de crédito cedidas "," 0 "," 0 "," 1610 "
1.02.06," Operações de Arrendamento Mercantil "," "," "," "
1.02.07," Outros Créditos "," 13228820 "," 13484348 "," 6049877 "
1.02.07.01," Carteira de câmbio "," 229087 "," 6029 "," 86484 "
1.02.07.02," Negociação e intermediação de valores "," "," "," "
1.02.07.03," Diversos "," 12999733 "," 13468804 "," 5953810 "
1.02.07.04," Provisão para perdas em outros créditos "," "," "," "
1.02.07.05," Rendas a receber "," 0 "," 9515 "," 9583 "
1.02.08," Outros Valores e Bens "," 451197 "," 257640 "," 13331 "
1.02.08.01," Despesas Antecipadas "," 451197 "," 257640 "," 13331 "
1.02.08.02," Investimentos temporários "," "," "," "
1.02.08.03," Outros valores e bens "," "," "," "
1.02.08.04," Provisão para desvalorização "," "," "," "
1.03," Ativo Permanente "," 23354588 "," 18872613 "," 14344574 "
1.03.01," Investimentos "," 22318292 "," 18681482 "," 14235984 "
1.03.01.01," Dependências no Exterior "," "," "," "
1.03.01.02," Participações em Controladas "," 22316389 "," 18680117 "," 14234619 "
1.03.01.02.01," Participações em Controladas - no país "," 21641624 "," 17925385 "," 12439202 "
1.03.01.02.02," Participações em Controladas - no exterior "," 674765 "," 754732 "," 1795417 "
1.03.01.03," Participações em Coligadas e Equiparadas "," "," "," "
1.03.01.04," Outros Investimentos "," 4770 "," 4232 "," 4232 "
1.03.01.04.01," Outros investimentos "," 4770 "," 4232 "," 4232 "
1.03.01.05," Provisão para Perdas "," -2867 "," -2867 "," -2867 "
1.03.01.05.01," Provisão para perdas "," -2867 "," -2867 "," -2867 "
1.03.02," Imobilizado de Uso "," 143572 "," 86749 "," 41571 "
1.03.02.01," Outras imobilizações de uso "," 357380 "," 277007 "," 156800 "
