Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 9882678 "," 4582439 "," 2400023 "
1.01," Ativo Circulante "," 1311929 "," 2106414 "," 455922 "
1.01.01," Caixa e Equivalentes de Caixa "," 169248 "," 73183 "," 31552 "
1.01.02," Aplicações Financeiras "," 346053 "," 1204671 "," 151042 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 346053 "," 1204671 "," 151042 "
1.01.02.01.01," Títulos para Negociação "," 346053 "," 1204671 "," 151042 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 660057 "," 368587 "," 241116 "
1.01.03.01," Clientes "," 615855 "," 343602 "," 213346 "
1.01.03.01.01," Contas a receber com partes relacionadas "," 12000 "," 0 "," 0 "
1.01.03.01.02," Contas a receber "," 603855 "," 343602 "," 213346 "
1.01.03.02," Outras Contas a Receber "," 44202 "," 24985 "," 27770 "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 88617 "," 5880 "," 4088 "
1.01.06.01," Tributos Correntes a Recuperar "," 88617 "," 5880 "," 4088 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 47954 "," 454093 "," 28124 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 47954 "," 454093 "," 28124 "
1.01.08.03.01," Derivativos "," 0 "," 0 "," 2391 "
1.01.08.03.02," Direitos e empréstimos para aquisições "," 1395 "," 413199 "," 21302 "
1.01.08.03.03," Outros ativos circulantes "," 46559 "," 40894 "," 4431 "
1.02," Ativo Não Circulante "," 8570749 "," 2476025 "," 1944101 "
1.02.01," Ativo Realizável a Longo Prazo "," 510141 "," 236587 "," 226535 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 56092 "," 35376 "," 0 "
1.02.01.04.01," Clientes "," 56092 "," 35376 "," 0 "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 1462 "," 1501 "," 1584 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 1462 "," 1501 "," 1584 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 12460 "," 10843 "," 9797 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 12460 "," 10843 "," 9797 "
1.02.01.10," Outros Ativos Não Circulantes "," 440127 "," 188867 "," 215154 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos judiciais "," 141873 "," 63359 "," 61062 "
1.02.01.10.04," Impostos e contribuições a recuperar "," 17509 "," 15243 "," 12849 "
1.02.01.10.05," Derivativos "," "," "," "
1.02.01.10.06," Direitos e empréstimos para aquisições "," 229925 "," 103242 "," 136301 "
1.02.01.10.07," Outros ativos não circulantes "," 50820 "," 7023 "," 4942 "
1.02.02," Investimentos "," 42316 "," 10824 "," 0 "
1.02.02.01," Participações Societárias "," 42316 "," 10824 "," 0 "
1.02.02.01.01," Participações em Coligadas "," 42316 "," 10824 "," 0 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 2044274 "," 979606 "," 898625 "
1.02.03.01," Imobilizado em Operação "," 646808 "," 360864 "," 360497 "
1.02.03.02," Direito de Uso em Arrendamento "," 1382681 "," 608708 "," 531538 "
1.02.03.03," Imobilizado em Andamento "," 14785 "," 10034 "," 6590 "
1.02.04," Intangível "," 5974018 "," 1249008 "," 818941 "
1.02.04.01," Intangíveis "," 207106 "," 82629 "," 58208 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangivel "," 207106 "," 82629 "," 58208 "
1.02.04.02," Goodwill "," 5766912 "," 1166379 "," 760733 "
1.02.04.02.01," Goodwill "," 5766912 "," 1166379 "," 760733 "
