Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 15385639 "," 15162834 "," 15132032 "
1.01," Ativo Circulante "," 1273780 "," 672805 "," 479728 "
1.01.01," Caixa e Equivalentes de Caixa "," 247737 "," 329551 "," 127257 "
1.01.01.01," Caixa e Equivalentes de Caixa "," 247737 "," 329551 "," 127257 "
1.01.02," Aplicações Financeiras "," 747330 "," 145647 "," 46322 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 747330 "," 145647 "," 46322 "
1.01.02.01.01," Títulos para Negociação "," 747330 "," 145647 "," 46322 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 221058 "," 149814 "," 251639 "
1.01.03.01," Clientes "," 221058 "," 149814 "," 251639 "
1.01.03.01.01," Contas a Receber "," 221058 "," 149814 "," 251639 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 11686 "," 10310 "," 9678 "
1.01.04.01," Estoques "," 11686 "," 10310 "," 9678 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 38893 "," 30413 "," 36171 "
1.01.06.01," Tributos Correntes a Recuperar "," 38893 "," 30413 "," 36171 "
1.01.06.01.01," Impostos a Recuperar "," 38893 "," 30413 "," 36171 "
1.01.07," Despesas Antecipadas "," 7076 "," 7070 "," 8661 "
1.01.07.03," Adiantamentos "," 7076 "," 7070 "," 8661 "
1.01.08," Outros Ativos Circulantes "," "," "," "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," "," "," "
1.02," Ativo Não Circulante "," 14111859 "," 14490029 "," 14652304 "
1.02.01," Ativo Realizável a Longo Prazo "," 1360576 "," 1153015 "," 581696 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 158385 "," 128389 "," 126449 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 158385 "," 128389 "," 126449 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 9855 "," 5037 "," 4530 "
1.02.01.04.01," Contas a Receber "," 9855 "," 5037 "," 4530 "
1.02.01.05," Estoques "," 4172 "," 4253 "," 9391 "
1.02.01.05.01," Estoques "," 4172 "," 4253 "," 9391 "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 787619 "," 609840 "," 19540 "
1.02.01.07.01," Impostos Diferidos Ativos "," 787619 "," 609840 "," 19540 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 36449 "," 17730 "," 17730 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.04," Partes Relacionadas "," 36449 "," 17730 "," 17730 "
1.02.01.10," Outros Ativos Não Circulantes "," 364096 "," 387766 "," 404056 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Impostos a Recuperar "," 336913 "," 361934 "," 383869 "
1.02.01.10.04," Depósitos Judiciais "," 27183 "," 25832 "," 20187 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1884 "," 2653 "," 11248 "
1.02.03.01," Imobilizado em Operação "," 1884 "," 2653 "," 11248 "
1.02.03.01.01," Imobilizado "," 1884 "," 2653 "," 11248 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 12749399 "," 13334361 "," 14059360 "
1.02.04.01," Intangíveis "," 12749399 "," 13334361 "," 14059360 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.03," Intang[ivel "," 12749399 "," 13334361 "," 14059360 "
