Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 2951198 "," 2752978 "
1.01," Ativo Circulante "," 654936 "," 723491 "
1.01.01," Caixa e Equivalentes de Caixa "," 461280 "," 537581 "
1.01.02," Aplicações Financeiras "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 90954 "," 35380 "
1.01.03.01," Clientes "," 89386 "," 35380 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.03.02.01," Contas a Receber de Partes Relacionadas "," 1568 "," 0 "
1.01.04," Estoques "," 53236 "," 44120 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 43582 "," 90766 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "
1.01.07," Despesas Antecipadas "," 3645 "," 12043 "
1.01.08," Outros Ativos Circulantes "," 2239 "," 3601 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 2239 "," 3601 "
1.01.08.03.01," Outros ativos e adiantamentos "," 2239 "," 3601 "
1.01.08.03.02," Instrumentos Financeiros Derivativos "," "," "
1.02," Ativo Não Circulante "," 2296262 "," 2029487 "
1.02.01," Ativo Realizável a Longo Prazo "," 186657 "," 164988 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 5533 "," 0 "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," 0 "," 1000 "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 109315 "," 134072 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 11399 "," 0 "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.09.05," Depósitos judiciais "," "," "
1.02.01.09.06," Instrumentos financeiros derivativos "," "," "
1.02.01.09.07," Outros ativos "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 60410 "," 29916 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Depósitos judiciais "," 6209 "," 10977 "
1.02.01.10.04," Outros ativos "," 17980 "," 18939 "
1.02.01.10.05," Instrumentos derivativos "," "," "
1.02.01.10.06," Tributos e contribuições a recuperar "," 36221 "," 0 "
1.02.02," Investimentos "," 30233 "," 23136 "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 1029806 "," 755505 "
1.02.03.01," Imobilizado em Operação "," 447298 "," 356447 "
1.02.03.02," Direito de Uso em Arrendamento "," 582508 "," 399058 "
1.02.03.02.01," Direito de uso "," 582508 "," 399058 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 1049566 "," 1085858 "
1.02.04.01," Intangíveis "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.02," Goodwill "," "," "
