Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 21715853 "," 8502627 "," 7242817 "
1.01," Ativo Circulante "," 9146959 "," 2380202 "," 1949183 "
1.01.01," Caixa e Equivalentes de Caixa "," 146030 "," 68647 "," 72233 "
1.01.02," Aplicações Financeiras "," 7640423 "," 1623860 "," 974872 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 7640423 "," 1623860 "," 974872 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Títulos, valores mobiliários e aplicações financeiras "," 7640423 "," 1623860 "," 974872 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 879885 "," 455421 "," 539263 "
1.01.03.01," Clientes "," 879885 "," 455421 "," 539263 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 109243 "," 80612 "," 86220 "
1.01.06.01," Tributos Correntes a Recuperar "," 109243 "," 80612 "," 86220 "
1.01.06.01.01," Tributos a Recuperar "," 34531 "," 16283 "," 14943 "
1.01.06.01.02," Imposto de Renda e Contribuição Social Antecipados "," 74712 "," 64329 "," 71277 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 371378 "," 151662 "," 276595 "
1.01.08.01," Ativos Não-Correntes a Venda "," 306031 "," 136734 "," 262331 "
1.01.08.01.01," Ativo Imobilizado Disponibilizado para Venda "," 306031 "," 136734 "," 262331 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 65347 "," 14928 "," 14264 "
1.01.08.03.01," Adiantamento a Terceiros "," "," "," "
1.01.08.03.02," Outros Créditos "," 65347 "," 14928 "," 14264 "
1.02," Ativo Não Circulante "," 12568894 "," 6122425 "," 5293634 "
1.02.01," Ativo Realizável a Longo Prazo "," 252630 "," 240717 "," 122400 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.03.01," Clientes "," "," "," "
1.02.01.03.02," Outras Contas a Receber "," "," "," "
1.02.01.04," Contas a Receber "," 21675 "," 3211 "," 4181 "
1.02.01.04.01," Clientes "," 7182 "," 3211 "," 4181 "
1.02.01.04.02," Outras Contas a Receber "," 14493 "," 0 "," 0 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 154427 "," 109502 "," 87660 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 154427 "," 109502 "," 87660 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 76528 "," 128004 "," 30559 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 6460 "," 6495 "," 1766 "
1.02.01.10.04," Tributos a Recuperar "," 26436 "," 37029 "," 28793 "
1.02.01.10.05," Títulos, Valores Mobiliários e Aplicações Financeiras "," 0 "," 40375 "," 0 "
1.02.01.10.06," Instrumentos Financeiros Derivativos "," 38781 "," 44105 "," 0 "
1.02.01.10.07," Imposto de renda e contribuição social antecipados "," 4851 "," 0 "," 0 "
1.02.02," Investimentos "," 1191 "," 1239 "," 1107 "
1.02.02.01," Participações Societárias "," 1191 "," 1239 "," 1107 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," 1191 "," 1239 "," 0 "
1.02.02.01.05," Outros Investimentos "," 0 "," 0 "," 1107 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 12140029 "," 5738753 "," 5063359 "
1.02.03.01," Imobilizado em Operação "," 12140029 "," 5738753 "," 5063359 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.02.01," Direito de Uso "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 175044 "," 141716 "," 106768 "
1.02.04.01," Intangíveis "," 175044 "," 141716 "," 106768 "
1.02.04.01.01," Contrato de Concessão "," 175044 "," 141716 "," 0 "
1.02.04.01.02," Intangível "," 0 "," 0 "," 106768 "
1.02.04.02," Goodwill "," "," "," "
