Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 1605913 "," 1614152 "," 1764923 "
1.01," Ativo Circulante "," 24175 "," 37995 "," 43764 "
1.01.01," Caixa e Equivalentes de Caixa "," 8927 "," 19234 "," 23750 "
1.01.01.01," Caixa e Equivalentes de Caixa "," 6723 "," 14528 "," 23750 "
1.01.01.02," Disponivel "," "," "," "
1.01.01.03," Banco Conta vinculada "," 2204 "," 4706 "," 0 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 13079 "," 13753 "," 15362 "
1.01.03.01," Clientes "," 13079 "," 13753 "," 15362 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 30 "," 333 "," 253 "
1.01.06.01," Tributos Correntes a Recuperar "," 30 "," 333 "," 253 "
1.01.07," Despesas Antecipadas "," 819 "," 560 "," 779 "
1.01.08," Outros Ativos Circulantes "," 1320 "," 4115 "," 3620 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 1320 "," 4115 "," 3620 "
1.02," Ativo Não Circulante "," 1581738 "," 1576157 "," 1721159 "
1.02.01," Ativo Realizável a Longo Prazo "," 227175 "," 187489 "," 240349 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 181591 "," 141574 "," 193891 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 181591 "," 141574 "," 193891 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 45584 "," 45403 "," 45947 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," 45584 "," 45403 "," 45947 "
1.02.01.10," Outros Ativos Não Circulantes "," 0 "," 512 "," 511 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Deposito Judicial "," 0 "," 512 "," 511 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 5493 "," 8117 "," 11241 "
1.02.03.01," Imobilizado em Operação "," 3103 "," 3170 "," 3170 "
1.02.03.02," Direito de Uso em Arrendamento "," 2390 "," 4947 "," 8071 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 1349070 "," 1380551 "," 1469569 "
1.02.04.01," Intangíveis "," 1349070 "," 1380551 "," 1469569 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 1349070 "," 1380551 "," 1469569 "
1.02.04.02," Goodwill "," "," "," "
