Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3294352 "," 3338375 "," 3331667 "
1.01," Ativo Circulante "," 350931 "," 311997 "," 220551 "
1.01.01," Caixa e Equivalentes de Caixa "," 216693 "," 205874 "," 117019 "
1.01.01.01," Caixa e Bancos "," 2300 "," 3653 "," 3912 "
1.01.01.02," Aplicações Financeiras "," 214393 "," 202221 "," 113107 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 75266 "," 55155 "," 54846 "
1.01.03.01," Clientes "," 75266 "," 55155 "," 54846 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 1345 "," 1031 "," 702 "
1.01.04.01," Estoque "," 1345 "," 1031 "," 702 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 34584 "," 30056 "," 17086 "
1.01.06.01," Tributos Correntes a Recuperar "," 34584 "," 30056 "," 17086 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 23043 "," 19881 "," 30898 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 23043 "," 19881 "," 30898 "
1.01.08.03.01," Outros Créditos "," 23043 "," 19881 "," 30898 "
1.01.08.03.02," Partes Relacionadas "," "," "," "
1.02," Ativo Não Circulante "," 2943421 "," 3026378 "," 3111116 "
1.02.01," Ativo Realizável a Longo Prazo "," 10264 "," 12531 "," 12509 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 5634 "," 5634 "," 5634 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 5634 "," 5634 "," 5634 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 4630 "," 6897 "," 6875 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depositos Judiciais "," 4630 "," 5165 "," 5143 "
1.02.01.10.04," Impostos a Recuperar "," 0 "," 1732 "," 1732 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 1233505 "," 1263280 "," 1296910 "
1.02.03.01," Imobilizado em Operação "," 1218845 "," 1254039 "," 1290079 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," 14660 "," 9241 "," 6831 "
1.02.04," Intangível "," 1699652 "," 1750567 "," 1801697 "
1.02.04.01," Intangíveis "," 1699652 "," 1750567 "," 1801697 "
1.02.04.01.01," Contrato de Concessão "," 1524661 "," 1566752 "," 1608743 "
1.02.04.01.02," Intangível "," 174991 "," 183815 "," 192954 "
