Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 18533473 "," 15794457 "," 19197490 "
1.01," Ativo Circulante "," 5846336 "," 5417423 "," 4138731 "
1.01.01," Caixa e Equivalentes de Caixa "," 3073799 "," 3064815 "," 1647880 "
1.01.02," Aplicações Financeiras "," 1430 "," 91819 "," 62009 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1430 "," 91819 "," 62009 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 1430 "," 91819 "," 62009 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 997893 "," 875382 "," 1165866 "
1.01.03.01," Clientes "," 997893 "," 875382 "," 1165866 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.03.02.01," Subarrendamento de aeronaves a receber "," "," "," "
1.01.04," Estoques "," 571924 "," 402587 "," 260865 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 109699 "," 133706 "," 139668 "
1.01.06.01," Tributos Correntes a Recuperar "," 109699 "," 133706 "," 139668 "
1.01.07," Despesas Antecipadas "," 244413 "," 219039 "," 139403 "
1.01.08," Outros Ativos Circulantes "," 847178 "," 630075 "," 723040 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 847178 "," 630075 "," 723040 "
1.01.08.03.01," Depósitos em garantia e reservas para manutenção "," 410912 "," 318460 "," 258212 "
1.01.08.03.02," Instrumentos financeiros derivativos "," 83177 "," 79216 "," 168148 "
1.01.08.03.03," Ativo disponível para venda "," 0 "," 0 "," 51850 "
1.01.08.03.05," Adiantamento a fornecedores "," 203379 "," 83114 "," 88145 "
1.01.08.03.06," Subarrendamento de aeronaves a receber "," 76199 "," 123455 "," 75052 "
1.01.08.03.07," Outros ativos circulantes "," 73511 "," 25830 "," 81633 "
1.02," Ativo Não Circulante "," 12687137 "," 10377034 "," 15058759 "
1.02.01," Ativo Realizável a Longo Prazo "," 3368330 "," 2796319 "," 4417632 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 906719 "," 854462 "," 1397699 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 906719 "," 854462 "," 1397699 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.04.03," Subarrendamento de aeronaves a receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," 313365 "," 18192 "," 22216 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 2148246 "," 1923665 "," 2997717 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Instrumentos financeiros derivativos "," 270640 "," 349093 "," 657776 "
1.02.01.10.04," Tributos a recuperar "," 0 "," 0 "," 244601 "
1.02.01.10.05," Subarrendamento de aeronaves a receber "," 197999 "," 189482 "," 204452 "
1.02.01.10.07," Depósito em garantia e reservas para manutenção "," 1553507 "," 1235582 "," 1393321 "
1.02.01.10.08," Outros ativos não circulantes "," 126100 "," 149508 "," 497567 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 7960769 "," 6410447 "," 9553643 "
1.02.03.01," Imobilizado em Operação "," 1961174 "," 1799706 "," 9553643 "
1.02.03.02," Direito de Uso em Arrendamento "," 5999595 "," 4610741 "," 0 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 1358038 "," 1170268 "," 1087484 "
1.02.04.01," Intangíveis "," 456621 "," 359320 "," 333982 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Licença de operação em aeroportos "," 126547 "," 82196 "," 82196 "
1.02.04.01.04," Software "," 748049 "," 593334 "," 489904 "
1.02.04.01.05," Amortização de Software "," -417975 "," -316210 "," -238118 "
1.02.04.02," Goodwill "," 901417 "," 810948 "," 753502 "
