Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 11654472 "," 8493990 "," 7414017 "
1.01," Ativo Circulante "," 4169953 "," 1311049 "," 1633705 "
1.01.01," Caixa e Equivalentes de Caixa "," 1957828 "," 1019611 "," 1351381 "
1.01.01.01," Caixa e Bancos "," 244327 "," 211234 "," 117841 "
1.01.01.02," Aplicações Financeiras "," 1713501 "," 808377 "," 1233540 "
1.01.02," Aplicações Financeiras "," 1761801 "," 0 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 78573 "," 0 "," 0 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 78573 "," 0 "," 0 "
1.01.02.01.03," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 1683228 "," 0 "," 0 "
1.01.03," Contas a Receber "," 195777 "," 154220 "," 137043 "
1.01.03.01," Clientes "," 195777 "," 154220 "," 137043 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 0 "," 0 "," 90873 "
1.01.06.01," Tributos Correntes a Recuperar "," 0 "," 0 "," 90873 "
1.01.07," Despesas Antecipadas "," 0 "," 0 "," 6352 "
1.01.08," Outros Ativos Circulantes "," 254547 "," 137218 "," 48056 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 254547 "," 137218 "," 48056 "
1.01.08.03.01," Outras Contas a Receber "," 43967 "," 47906 "," 48056 "
1.01.08.03.02," Impostos a recuperar "," 170127 "," 82330 "," 0 "
1.01.08.03.03," Despesas antecipadas "," 17455 "," 6982 "," 0 "
1.01.08.03.04," Créditos com Partes Relacionadas "," 22998 "," 0 "," 0 "
1.02," Ativo Não Circulante "," 7484519 "," 7182941 "," 5780312 "
1.02.01," Ativo Realizável a Longo Prazo "," 330116 "," 364830 "," 163822 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 3910 "," 60037 "," 5336 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 3910 "," 60037 "," 5336 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 0 "," 0 "," 20762 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," 0 "," 0 "," 20762 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 150081 "," 117127 "," 39844 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 150081 "," 117127 "," 39844 "
1.02.01.08," Despesas Antecipadas "," 0 "," 0 "," 1376 "
1.02.01.09," Créditos com Partes Relacionadas "," 0 "," 35930 "," 11734 "
1.02.01.09.01," Créditos com Coligadas "," 0 "," 35930 "," 11734 "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 176125 "," 151736 "," 84770 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósitos Judiciais "," 67883 "," 53544 "," 43328 "
1.02.01.10.04," Impostos a Recuperar "," 31491 "," 54795 "," 41442 "
1.02.01.10.05," Outras Contas a Receber "," 64634 "," 39718 "," 0 "
1.02.01.10.06," Despesas antecipadas "," 5090 "," 3679 "," 0 "
1.02.01.10.07," Instrumentos financeiros derivativos "," 7027 "," 0 "," 0 "
1.02.02," Investimentos "," 127228 "," 125211 "," 5292 "
1.02.02.01," Participações Societárias "," 127228 "," 125211 "," 5292 "
1.02.02.01.01," Participações em Coligadas "," 127228 "," 0 "," 5292 "
1.02.02.01.04," Participações em Controladas em Conjunto "," 0 "," 125211 "," 0 "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 5507417 "," 5152020 "," 4425338 "
1.02.03.01," Imobilizado em Operação "," 2425647 "," 2236874 "," 1926087 "
1.02.03.02," Direito de Uso em Arrendamento "," 2810405 "," 2726888 "," 2331096 "
1.02.03.03," Imobilizado em Andamento "," 271365 "," 188258 "," 168155 "
1.02.04," Intangível "," 1519758 "," 1540880 "," 1185860 "
1.02.04.01," Intangíveis "," 1519758 "," 1540880 "," 1185860 "
1.02.04.01.01," Contrato de Concessão "," 26337 "," 24032 "," 31712 "
1.02.04.01.02," Software, Marcas e Patentes, Cessão de direito de uso e Carteira de clientes "," 1493421 "," 1516848 "," 1154148 "
1.02.04.02," Goodwill "," "," "," "
