Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 3908556 "," 3182896 "," 3053819 "
1.01," Ativo Circulante "," 3806465 "," 3075857 "," 2981913 "
1.01.01," Caixa e Equivalentes de Caixa "," 724638 "," 510850 "," 394522 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 3078778 "," 2562305 "," 2583124 "
1.01.03.01," Clientes "," 3078778 "," 2562305 "," 2583124 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," "," "," "
1.01.06.01," Tributos Correntes a Recuperar "," "," "," "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 3049 "," 2702 "," 4267 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 3049 "," 2702 "," 4267 "
1.02," Ativo Não Circulante "," 102091 "," 107039 "," 71906 "
1.02.01," Ativo Realizável a Longo Prazo "," 12974 "," 13467 "," 12064 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 12974 "," 13467 "," 12064 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Ativos Fiscais Diferidos "," 3892 "," 3597 "," 3696 "
1.02.01.10.04," Depósitos Judiciais "," 3647 "," 4687 "," 3268 "
1.02.01.10.05," Títulos Mantidos em Garantia "," 0 "," 0 "," 4519 "
1.02.01.10.06," Títulos e Valores Imobiliários "," 3873 "," 4645 "," 0 "
1.02.01.10.07," Outros Ativos "," 1562 "," 538 "," 581 "
1.02.02," Investimentos "," 0 "," 3038 "," 4910 "
1.02.02.01," Participações Societárias "," 0 "," 3038 "," 4910 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.02," Participações em Controladas "," "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.04," Outros Investimentos "," 0 "," 3038 "," 4910 "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 88242 "," 88776 "," 52458 "
1.02.03.01," Imobilizado em Operação "," 88242 "," 88776 "," 52458 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 875 "," 1758 "," 2474 "
1.02.04.01," Intangíveis "," 875 "," 1758 "," 2474 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Contrato Direito de Uso - CPC 6 "," 875 "," 1758 "," 2474 "
