Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 957927 "," 990198 "," 1007030 "
1.01," Ativo Circulante "," 292598 "," 285935 "," 246099 "
1.01.01," Caixa e Equivalentes de Caixa "," 5045 "," 4110 "," 141 "
1.01.02," Aplicações Financeiras "," 101901 "," 75532 "," 47790 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 101901 "," 75532 "," 47790 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 101901 "," 75532 "," 47790 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 18787 "," 20571 "," 17101 "
1.01.03.01," Clientes "," "," "," "
1.01.03.02," Outras Contas a Receber "," 18787 "," 20571 "," 17101 "
1.01.03.02.01," Concessionárias e permissionárias "," 18787 "," 20571 "," 17101 "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 12220 "," 5805 "," 4153 "
1.01.06.01," Tributos Correntes a Recuperar "," 12220 "," 5805 "," 4153 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 154645 "," 179917 "," 176914 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 154645 "," 179917 "," 176914 "
1.01.08.03.01," Outros ativos "," 14610 "," 13888 "," 11844 "
1.01.08.03.02," Ativo de contrato "," 140035 "," 166029 "," 165070 "
1.02," Ativo Não Circulante "," 665329 "," 704263 "," 760931 "
1.02.01," Ativo Realizável a Longo Prazo "," 656631 "," 695337 "," 751744 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 6034 "," 5842 "," 5198 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 6034 "," 5842 "," 5198 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 650597 "," 689495 "," 746546 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Ativo de contrato "," 650597 "," 689495 "," 746546 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 8698 "," 8926 "," 9187 "
1.02.03.01," Imobilizado em Operação "," 8698 "," 8926 "," 9187 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," "," "," "
1.02.04.01," Intangíveis "," "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
