Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 11958245 "," 10667254 "," 9498257 "
1.01," Ativo Circulante "," 3765568 "," 3955299 "," 2358072 "
1.01.01," Caixa e Equivalentes de Caixa "," 844088 "," 1166205 "," 566181 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 1931011 "," 1918725 "," 1421771 "
1.01.03.01," Clientes "," 1697665 "," 1623760 "," 1258367 "
1.01.03.01.01," Contas a receber de Clientes "," 2244793 "," 2141621 "," 1819342 "
1.01.03.01.02," Provisão para Créditos de Liquidação Duvidosa "," -547128 "," -517861 "," -560975 "
1.01.03.02," Outras Contas a Receber "," 233346 "," 294965 "," 163404 "
1.01.04," Estoques "," 13556 "," 12313 "," 14696 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 572007 "," 591837 "," 68579 "
1.01.06.01," Tributos Correntes a Recuperar "," 572007 "," 591837 "," 68579 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 404906 "," 266219 "," 286845 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 404906 "," 266219 "," 286845 "
1.01.08.03.01," Ativo Financeiro Indenização Projeto Básico US Pery "," 34115 "," 0 "," 0 "
1.01.08.03.02," Bônus de Escassez Hídrica "," 102861 "," 0 "," 0 "
1.01.08.03.03," Dividendos a Receber "," 14865 "," 14352 "," 7114 "
1.01.08.03.04," Outros Créditos "," 167063 "," 171161 "," 193898 "
1.01.08.03.05," Ativo Financeiro - Parcela A - CVA "," "," "," "
1.01.08.03.06," Ativo Financeiro - Bonificação de Outorga "," 36771 "," 33674 "," 32597 "
1.01.08.03.07," Recursos da CDE para Cobertura de CVA "," 49231 "," 47032 "," 53236 "
1.02," Ativo Não Circulante "," 8192677 "," 6711955 "," 7140185 "
1.02.01," Ativo Realizável a Longo Prazo "," 3893561 "," 2623539 "," 3261941 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 137478 "," 137478 "," 137478 "
1.02.01.02.02," Outros Títulos "," 217 "," 217 "," 217 "
1.02.01.02.03," Títulos e Valores Negociáveis "," 137261 "," 137261 "," 137261 "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 30245 "," 32454 "," 49715 "
1.02.01.04.01," Clientes "," 141826 "," 143850 "," 159297 "
