Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 13627870 "," 13484270 "," 8312406 "
1.01," Ativo Circulante "," 1899486 "," 3118145 "," 1380748 "
1.01.01," Caixa e Equivalentes de Caixa "," 47396 "," 74169 "," 24706 "
1.01.02," Aplicações Financeiras "," 1052491 "," 1173225 "," 825964 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 617451 "," 554580 "," 394741 "
1.01.03.01," Clientes "," 617451 "," 554580 "," 394741 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," 41722 "," 32954 "," 28562 "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 71975 "," 42177 "," 31118 "
1.01.06.01," Tributos Correntes a Recuperar "," 71975 "," 42177 "," 31118 "
1.01.07," Despesas Antecipadas "," "," "," "
1.01.08," Outros Ativos Circulantes "," 68451 "," 1241040 "," 75657 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 68451 "," 1241040 "," 75657 "
1.01.08.03.01," Fundos restritos "," 0 "," 1200602 "," 22918 "
1.01.08.03.02," Partes relacionadas "," 15700 "," 0 "," 0 "
1.01.08.03.03," Adiantamentos a fornecedores "," 24833 "," 14784 "," 16440 "
1.01.08.03.04," Dividendos e juros sobre capital próprio a receber "," 5867 "," 5973 "," 3700 "
1.01.08.03.05," Outros ativos "," 22051 "," 19681 "," 32599 "
1.02," Ativo Não Circulante "," 11728384 "," 10366125 "," 6931658 "
1.02.01," Ativo Realizável a Longo Prazo "," 3717297 "," 3300671 "," 2711576 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 3249054 "," 2915379 "," 2364720 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 211560 "," 181115 "," 171512 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 211560 "," 181115 "," 171512 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 2588 "," 15392 "," 25347 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 254095 "," 188785 "," 149997 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," 0 "," 1451 "," 2005 "
1.02.01.10.03," Fundos restritos "," 79605 "," 41436 "," 12157 "
1.02.01.10.04," Tributos a recuperar "," 92014 "," 83380 "," 75084 "
1.02.01.10.05," Depósitos judiciais "," 33268 "," 13657 "," 9963 "
1.02.01.10.06," Adiantamentos para futuro aumento de capital "," "," "," "
1.02.01.10.07," Dividendos e juros sobre capital próprio a receber "," "," "," "
1.02.01.10.08," Outros ativos "," 49208 "," 48861 "," 50788 "
1.02.02," Investimentos "," 126507 "," 125237 "," 175375 "
1.02.02.01," Participações Societárias "," 80050 "," 82403 "," 132541 "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 46457 "," 42834 "," 42834 "
1.02.03," Imobilizado "," 231671 "," 235112 "," 189381 "
1.02.03.01," Imobilizado em Operação "," 85364 "," 86204 "," 82367 "
1.02.03.02," Direito de Uso em Arrendamento "," 146307 "," 148908 "," 107014 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 7652909 "," 6705105 "," 3855326 "
1.02.04.01," Intangíveis "," 7652909 "," 6705105 "," 3855326 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Ativos de contrato "," 1237126 "," 1012556 "," 1021630 "
1.02.04.01.03," Intangível "," 6415783 "," 5692549 "," 2833696 "
1.02.04.02," Goodwill "," "," "," "
