Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 4575859 "," 1452364 "
1.01," Ativo Circulante "," 2151915 "," 807495 "
1.01.01," Caixa e Equivalentes de Caixa "," 1584399 "," 404628 "
1.01.02," Aplicações Financeiras "," 1685 "," 20968 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1685 "," 20968 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.01.03," Aplicação financeira restrita "," 1685 "," 1601 "
1.01.02.01.04," Instrumentos financeiros derivativos "," 0 "," 19367 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 503555 "," 358578 "
1.01.03.01," Clientes "," 503555 "," 358578 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," "," "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 31528 "," 9412 "
1.01.06.01," Tributos Correntes a Recuperar "," 31528 "," 9412 "
1.01.06.01.01," Outros impostos a recuperar "," 6225 "," 9412 "
1.01.06.01.02," Imposto de renda e contribuição social a recuperar "," 25303 "," 0 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 30748 "," 13909 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 30748 "," 13909 "
1.01.08.03.01," Instrumentos Financeiros Derivativos "," 8745 "," 0 "
1.01.08.03.02," Outros Ativos "," 22003 "," 13909 "
1.02," Ativo Não Circulante "," 2423944 "," 644869 "
1.02.01," Ativo Realizável a Longo Prazo "," 46837 "," 90717 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 0 "," 3740 "
1.02.01.02.02," Depósitos judiciais "," 0 "," 538 "
1.02.01.02.03," Aplicação financeira restrita "," 0 "," 3202 "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," "," "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 42048 "," 20713 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 42048 "," 20713 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 4789 "," 66264 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Ativo de direito de uso "," 0 "," 65104 "
1.02.01.10.04," Outros ativos "," 4285 "," 1160 "
1.02.01.10.05," Depósitos Judiciais "," 504 "," 0 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 158311 "," 76263 "
1.02.03.01," Imobilizado em Operação "," 88734 "," 76263 "
1.02.03.02," Direito de Uso em Arrendamento "," 69577 "," 0 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 2218796 "," 477889 "
1.02.04.01," Intangíveis "," 2218796 "," 477889 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.01.02," Intangível "," 2218796 "," 477889 "
1.02.04.02," Goodwill "," "," "
