Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 2575218 "," 2697105 "," 2419995 "
1.01," Ativo Circulante "," 276892 "," 202979 "," 249139 "
1.01.01," Caixa e Equivalentes de Caixa "," 96400 "," 42109 "," 120196 "
1.01.02," Aplicações Financeiras "," "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 57087 "," 49942 "," 58053 "
1.01.03.01," Clientes "," 57087 "," 49942 "," 58053 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 43948 "," 49415 "," 32988 "
1.01.06.01," Tributos Correntes a Recuperar "," 43948 "," 49415 "," 32988 "
1.01.07," Despesas Antecipadas "," 6013 "," 4035 "," 4341 "
1.01.08," Outros Ativos Circulantes "," 73444 "," 57478 "," 33561 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 73444 "," 57478 "," 33561 "
1.01.08.03.01," Adiantamento a fornecedores "," 1862 "," 1183 "," 2110 "
1.01.08.03.02," Adiantamento a funcionários "," 881 "," 2114 "," 1626 "
1.01.08.03.03," Adiantamento de aluguéis "," 331 "," 418 "," 351 "
1.01.08.03.04," Outros créditos "," 39576 "," 30930 "," 1787 "
1.01.08.03.05," Instrumentos financeiros derivativos "," 0 "," 0 "," 1660 "
1.01.08.03.06," Cessão de direitos creditórios a receber "," "," "," "
1.01.08.03.07," Créditos com Partes Relacionadas "," 30794 "," 22833 "," 26027 "
1.02," Ativo Não Circulante "," 2298326 "," 2494126 "," 2170856 "
1.02.01," Ativo Realizável a Longo Prazo "," 85452 "," 62183 "," 63420 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," 18541 "," 14053 "," 0 "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.04.03," Outros créditos "," 18541 "," 14053 "," 0 "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.08," Despesas Antecipadas "," 3586 "," 4578 "," 2393 "
1.02.01.09," Créditos com Partes Relacionadas "," 401 "," 275 "," 484 "
1.02.01.09.01," Créditos com Coligadas "," 401 "," 275 "," 484 "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 62924 "," 43277 "," 60543 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," 0 "," 0 "," 6487 "
1.02.01.10.03," Depósitos judiciais "," 12295 "," 11265 "," 0 "
1.02.01.10.04," Impostos e contribuições a recuperar "," 27808 "," 32012 "," 54056 "
1.02.01.10.05," Títulos e valores mobiliários restritos "," 22821 "," 0 "," 0 "
1.02.02," Investimentos "," 29062 "," 33958 "," 37370 "
1.02.02.01," Participações Societárias "," 15599 "," 20158 "," 23233 "
1.02.02.01.01," Participações em Coligadas "," 15599 "," 20158 "," 23233 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," 13463 "," 13800 "," 14137 "
1.02.03," Imobilizado "," 626112 "," 747749 "," 1167176 "
1.02.03.01," Imobilizado em Operação "," 219105 "," 238339 "," 285886 "
1.02.03.02," Direito de Uso em Arrendamento "," 407007 "," 509410 "," 881290 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 1557700 "," 1650236 "," 902890 "
1.02.04.01," Intangíveis "," 1557700 "," 1650236 "," 902890 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.02," Goodwill "," "," "," "
