Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 3752796 "," 3721786 "
1.01," Ativo Circulante "," 394661 "," 405222 "
1.01.01," Caixa e Equivalentes de Caixa "," 56060 "," 65445 "
1.01.02," Aplicações Financeiras "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 30433 "," 34656 "
1.01.03.01," Clientes "," "," "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," "," "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 16988 "," 15529 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 291180 "," 289592 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 291180 "," 289592 "
1.01.08.03.01," Títulos e Valores Mobiliários "," 0 "," 80 "
1.01.08.03.02," Outros Ativos Circulantes "," 12663 "," 8968 "
1.01.08.03.03," Partes Relacionadas "," 0 "," 636 "
1.01.08.03.04," Ativo de Contrato de Concessão "," 262446 "," 253321 "
1.01.08.03.05," Depósitos Vinculados "," 15260 "," 25776 "
1.01.08.03.06," Antecipação de dividendos "," 811 "," 811 "
1.02," Ativo Não Circulante "," 3358135 "," 3316564 "
1.02.01," Ativo Realizável a Longo Prazo "," 3357419 "," 3316106 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," 1174 "," 0 "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," "," "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 3356245 "," 3316106 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Tributos a Recuperar "," 2115 "," 2050 "
1.02.01.10.04," Depósitos Judiciais "," 2126 "," 3944 "
1.02.01.10.05," Depósitos Vinculados "," 39551 "," 54442 "
1.02.01.10.06," Ativo de Contrato de Concessão "," 3312453 "," 3255670 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.02," Participações em Controladas "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "
1.02.02.01.04," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 342 "," 111 "
1.02.03.01," Imobilizado em Operação "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 374 "," 347 "
1.02.04.01," Intangíveis "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "
