Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
1," Ativo Total "," 472295 "," 529067 "," 36954 "
1.01," Ativo Circulante "," 418705 "," 506654 "," 16330 "
1.01.01," Caixa e Equivalentes de Caixa "," 382542 "," 486707 "," 3104 "
1.01.01.01," Caixa e Equivalentes de Caixa "," 382542 "," 486707 "," 3104 "
1.01.02," Aplicações Financeiras "," 9193 "," 16316 "," 12587 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 9193 "," 16316 "," 12587 "
1.01.02.01.01," Títulos para Negociação "," "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "," "
1.01.02.01.03," Aplicações Financeiras Vinculadas "," 9193 "," 16316 "," 12587 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.01.03," Contas a Receber "," 16001 "," 0 "," 0 "
1.01.03.01," Clientes "," 16001 "," 0 "," 0 "
1.01.03.02," Outras Contas a Receber "," "," "," "
1.01.04," Estoques "," "," "," "
1.01.05," Ativos Biológicos "," "," "," "
1.01.06," Tributos a Recuperar "," 7690 "," 3378 "," 514 "
1.01.06.01," Tributos Correntes a Recuperar "," 7690 "," 3378 "," 514 "
1.01.07," Despesas Antecipadas "," 3119 "," 107 "," 81 "
1.01.07.01," Adiantamentos "," 719 "," 107 "," 81 "
1.01.07.02," Despesas Antecipadas "," 2400 "," 0 "," 0 "
1.01.08," Outros Ativos Circulantes "," 160 "," 146 "," 44 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "," "
1.01.08.03," Outros "," 160 "," 146 "," 44 "
1.02," Ativo Não Circulante "," 53590 "," 22413 "," 20624 "
1.02.01," Ativo Realizável a Longo Prazo "," 443 "," 333 "," 383 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 333 "," 333 "," 333 "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "," "
1.02.01.04," Contas a Receber "," "," "," "
1.02.01.04.01," Clientes "," "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "," "
1.02.01.05," Estoques "," "," "," "
1.02.01.06," Ativos Biológicos "," "," "," "
1.02.01.07," Tributos Diferidos "," 0 "," 0 "," 28 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
1.02.01.07.02," Tributos Diferidos "," 0 "," 0 "," 28 "
1.02.01.08," Despesas Antecipadas "," "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 110 "," 0 "," 0 "
1.02.01.09.01," Créditos com Coligadas "," "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "," "
1.02.01.09.05," Depósito Judicial "," "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 0 "," 0 "," 22 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "," "
1.02.01.10.03," Depósito Judicial "," 0 "," 0 "," 22 "
1.02.02," Investimentos "," "," "," "
1.02.02.01," Participações Societárias "," "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "," "
1.02.02.01.05," Outros Investimentos "," "," "," "
1.02.02.02," Propriedades para Investimento "," "," "," "
1.02.03," Imobilizado "," 10580 "," 4343 "," 4748 "
1.02.03.01," Imobilizado em Operação "," 3591 "," 2550 "," 2182 "
1.02.03.01.01," Imobilizado "," 3591 "," 2550 "," 2182 "
1.02.03.02," Direito de Uso em Arrendamento "," 6989 "," 1793 "," 2566 "
1.02.03.03," Imobilizado em Andamento "," "," "," "
1.02.04," Intangível "," 42567 "," 17737 "," 15493 "
1.02.04.01," Intangíveis "," 42567 "," 17737 "," 15493 "
1.02.04.01.01," Contrato de Concessão "," "," "," "
1.02.04.01.02," Intangíveis "," 42567 "," 17737 "," 15493 "
1.02.04.02," Goodwill "," "," "," "
